ID,TableIndex,Season,League Rank,Squad,NumPlayers,Avg_Age,Avg_Poss,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Annual Wages,League,gf2,ga2,gfga,Available_Points,Pythagorean_%,Predicted_Points,Difference
142,53,2019-2020,14,Crystal Palace,69,29.4,44.8,38,11,10,17,31,50,-19,43,1.13,35.8,57,-21.2,-0.56,19784,90278786,EPL,961,2500,3461,114,0.277665415,31.65385727,11.34614273
143,54,2019-2020,15,Brighton,81,26.4,52.2,38,9,14,15,39,54,-15,41,1.08,45.4,55,-9.5,-0.25,22369,59205581,EPL,1521,2916,4437,114,0.342799189,39.07910751,1.920892495
144,55,2019-2020,16,West Ham,74,27.4,44.1,38,10,9,19,49,62,-13,39,1.03,48.6,63.8,-15.2,-0.4,44155,90541270,EPL,2401,3844,6245,114,0.384467574,43.82930344,-4.829303443
145,56,2019-2020,17,Aston Villa,79,25.7,44.1,38,9,8,21,41,67,-26,35,0.92,44.3,67.8,-23.5,-0.62,28505,62158568,EPL,1681,4489,6170,114,0.272447326,31.05899514,3.941004862
146,57,2019-2020,19,Watford,91,28.9,42.9,38,8,10,20,36,64,-28,34,0.89,48.9,58.1,-9.3,-0.24,15353,70081807,EPL,1296,4096,5392,114,0.240356083,27.40059347,6.599406528
147,58,2019-2020,18,Bournemouth,83,25.2,44.1,38,9,7,22,40,65,-25,34,0.89,44.8,62.3,-17.5,-0.46,7745,51464621,EPL,1600,4225,5825,114,0.274678112,31.31330472,2.686695279
148,59,2019-2020,20,Norwich City,71,26,49.3,38,5,6,27,26,75,-49,21,0.55,37,66.5,-29.5,-0.78,19913,31826646,EPL,676,5625,6301,114,0.107284558,12.23043961,8.769560387
149,60,2020-2021,1,Manchester City,76,26.1,63.5,38,27,5,6,83,32,51,86,2.26,68.2,30.2,38,1,526,167309223,EPL,6889,1024,7913,114,0.870592696,99.24756729,-13.24756729
150,61,2020-2021,2,Manchester Utd,86,25.6,55.7,38,21,11,6,73,44,29,74,1.95,60.1,41.5,18.6,0.49,526,235035931,EPL,5329,1936,7265,114,0.733516862,83.62092223,-9.62092223
151,62,2020-2021,3,Liverpool,84,26.8,62.1,38,20,9,9,68,42,26,69,1.82,67.5,43,24.5,0.65,837,159096757,EPL,4624,1764,6388,114,0.723857232,82.51972448,-13.51972448
152,63,2020-2021,4,Chelsea,82,26,60.9,38,19,10,9,58,36,22,67,1.76,62.4,30.3,32.2,0.85,526,179624258,EPL,3364,1296,4660,114,0.721888412,82.29527897,-15.29527897
153,64,2020-2021,5,Leicester City,78,26.5,54.3,38,20,6,12,68,50,18,66,1.74,55.8,46,9.8,0.26,421,94211238,EPL,4624,2500,7124,114,0.649073554,73.99438518,-7.994385177
154,65,2020-2021,6,West Ham,69,27.8,43.2,38,19,8,11,62,47,15,65,1.71,55.4,48.7,6.7,0.18,632,80783044,EPL,3844,2209,6053,114,0.635056997,72.3964976,-7.396497604
155,66,2020-2021,7,Tottenham,82,27.2,51.6,38,18,8,12,68,45,23,62,1.63,53.1,49.1,4,0.1,632,163418084,EPL,4624,2025,6649,114,0.695442924,79.28049331,-17.28049331
156,67,2020-2021,8,Arsenal,87,25.9,53.5,38,18,7,13,55,39,16,61,1.61,51.8,43,8.8,0.23,632,179184367,EPL,3025,1521,4546,114,0.66542015,75.85789705,-14.85789705
157,68,2020-2021,10,Everton,87,26.3,46.4,38,17,8,13,47,48,-1,59,1.55,45.7,50.1,-4.5,-0.12,368,111889062,EPL,2209,2304,4513,114,0.48947485,55.80013295,3.199867051
158,69,2020-2021,9,Leeds United,85,26.1,57.3,38,18,5,15,62,54,8,59,1.55,55.6,57.9,-2.2,-0.06,421,29391828,EPL,3844,2916,6760,114,0.568639053,64.82485207,-5.824852071
159,70,2020-2021,11,Aston Villa,79,25.2,48.5,38,16,7,15,55,46,9,55,1.45,52.5,51.1,1.4,0.04,526,75481066,EPL,3025,2116,5141,114,0.588406925,67.07838942,-12.07838942
160,71,2020-2021,12,Newcastle Utd,94,27.1,38.8,38,12,9,17,46,62,-16,45,1.18,43.4,58.3,-14.9,-0.39,526,69931123,EPL,2116,3844,5960,114,0.355033557,40.4738255,4.526174497
161,72,2020-2021,13,Wolves,70,26.3,49.3,38,12,9,17,36,52,-16,45,1.18,36.5,49.5,-13,-0.34,237,62600661,EPL,1296,2704,4000,114,0.324,36.936,8.064
162,73,2020-2021,14,Crystal Palace,87,29.1,40.6,38,12,8,18,41,66,-25,44,1.16,34.1,58.2,-24.2,-0.64,447,107832658,EPL,1681,4356,6037,114,0.278449561,31.74324996,12.25675004
163,74,2020-2021,15,Southampton,76,26.6,52,38,12,7,19,47,68,-21,43,1.13,41.2,53.1,-11.8,-0.31,526,69491210,EPL,2209,4624,6833,114,0.323284063,36.85438314,6.145616859
164,75,2020-2021,16,Brighton,87,25.8,51.1,38,9,14,15,40,46,-6,41,1.08,50.9,35.3,15.6,0.41,523,62679778,EPL,1600,2116,3716,114,0.430570506,49.08503767,-8.085037675
165,76,2020-2021,17,Burnley,74,28.3,42.1,38,10,9,19,33,55,-22,39,1.03,39.3,54.7,-15.4,-0.4,178,44660597,EPL,1089,3025,4114,114,0.264705882,30.17647059,8.823529412
166,77,2020-2021,18,Fulham,89,25.2,49.7,38,5,13,20,27,53,-26,28,0.74,40.5,52.6,-12.1,-0.32,211,63396662,EPL,729,2809,3538,114,0.206048615,23.48954211,4.510457886
167,78,2020-2021,19,West Brom,87,26.4,37.9,38,5,11,22,35,76,-41,26,0.68,35.8,67.9,-32,-0.84,283,45070367,EPL,1225,5776,7001,114,0.174975004,19.94715041,6.052849593
168,79,2020-2021,20,Sheffield Utd,86,26.7,41.7,38,7,2,29,20,63,-43,23,0.61,32.6,62.2,-29.6,-0.78,263,24410390,EPL,400,3969,4369,114,0.091554131,10.43717098,12.56282902
169,80,2021-2022,1,Manchester City,67,27,67.9,38,29,6,3,99,26,73,93,2.45,88.7,24.6,64,1.68,52774,184169203,EPL,9801,676,10477,114,0.935477713,106.6444593,-13.64445929
