league,seasons,league_rank,squad,player,goals,team_total,league_total,goals_rank
Bundesliga,2017-2018,1,Bayern Munich,Robert Lewandowski,29,92,811,1
Bundesliga,2017-2018,1,Bayern Munich,Thomas MÃ¼ller,8,92,811,3
Bundesliga,2017-2018,1,Bayern Munich,Sandro Wagner,8,92,811,4
Bundesliga,2017-2018,1,Bayern Munich,James RodrÃ­guez,7,92,811,5
Bundesliga,2017-2018,1,Bayern Munich,Corentin Tolisso,6,92,811,6
Bundesliga,2017-2018,1,Bayern Munich,Arturo Vidal,6,92,811,7
Bundesliga,2017-2018,1,Bayern Munich,Arjen Robben,5,92,811,8
Bundesliga,2017-2018,1,Bayern Munich,Franck RibÃ©ry,5,92,811,9
Bundesliga,2017-2018,1,Bayern Munich,Kingsley Coman,3,92,811,10
Bundesliga,2017-2018,1,Bayern Munich,David Alaba,2,92,811,11
Bundesliga,2017-2018,1,Bayern Munich,Thiago AlcÃ¡ntara,2,92,811,12
Bundesliga,2017-2018,1,Bayern Munich,Niklas SÃ¼le,2,92,811,13
Bundesliga,2017-2018,1,Bayern Munich,Mats Hummels,1,92,811,14
Bundesliga,2017-2018,1,Bayern Munich,Niklas Dorsch,1,92,811,15
Bundesliga,2017-2018,1,Bayern Munich,Rafinha,1,92,811,16
Bundesliga,2017-2018,1,Bayern Munich,Joshua Kimmich,1,92,811,17
Bundesliga,2017-2018,1,Bayern Munich,Javi MartÃ­nez,1,92,811,18
Bundesliga,2017-2018,1,Bayern Munich,JÃ©rÃ´me Boateng,1,92,811,19
Bundesliga,2017-2018,1,Bayern Munich,Sebastian Rudy,1,92,811,20
Bundesliga,2017-2018,1,Bayern Munich,Marco Friedl,0,92,811,21
Bundesliga,2017-2018,1,Bayern Munich,Manuel Neuer,0,92,811,22
Bundesliga,2017-2018,1,Bayern Munich,Franck Evina,0,92,811,23
Bundesliga,2017-2018,1,Bayern Munich,Juan Bernat,0,92,811,24
Bundesliga,2017-2018,1,Bayern Munich,Kwasi Okyere Wriedt,0,92,811,25
Bundesliga,2017-2018,1,Bayern Munich,Meritan Shabani,0,92,811,26
Bundesliga,2017-2018,1,Bayern Munich,Sven Ulreich,0,92,811,27
Bundesliga,2017-2018,1,Bayern Munich,Lars Lukas Mai,0,92,811,28
Bundesliga,2017-2018,1,Bayern Munich,Tom Starke,0,92,811,29
Bundesliga,2017-2018,2,Schalke 04,Guido Burgstaller,11,53,811,1
Bundesliga,2017-2018,2,Schalke 04,Naldo,7,53,811,2
Bundesliga,2017-2018,2,Schalke 04,Daniel Caligiuri,6,53,811,3
Bundesliga,2017-2018,2,Schalke 04,Leon Goretzka,4,53,811,4
Bundesliga,2017-2018,2,Schalke 04,Yevhen Konoplyanka,4,53,811,5
Bundesliga,2017-2018,2,Schalke 04,Nabil Bentaleb,4,53,811,6
Bundesliga,2017-2018,2,Schalke 04,Thilo Kehrer,3,53,811,7
Bundesliga,2017-2018,2,Schalke 04,Franco Di Santo,3,53,811,8
Bundesliga,2017-2018,2,Schalke 04,Breel Embolo,3,53,811,9
Bundesliga,2017-2018,2,Schalke 04,Amine Harit,3,53,811,10
Bundesliga,2017-2018,2,Schalke 04,Marko Pjaca,2,53,811,11
Bundesliga,2017-2018,2,Schalke 04,Alessandro SchÃ¶pf,0,53,811,12
Bundesliga,2017-2018,2,Schalke 04,Benjamin Stambouli,0,53,811,13
Bundesliga,2017-2018,2,Schalke 04,Alexander NÃ¼bel,0,53,811,14
Bundesliga,2017-2018,2,Schalke 04,Baba Rahman,0,53,811,15
Bundesliga,2017-2018,2,Schalke 04,Bastian Oczipka,0,53,811,16
Bundesliga,2017-2018,2,Schalke 04,Weston McKennie,0,53,811,17
Bundesliga,2017-2018,2,Schalke 04,Cedric Teuchert,0,53,811,18
Bundesliga,2017-2018,2,Schalke 04,Coke,0,53,811,19
Bundesliga,2017-2018,2,Schalke 04,Fabian Reese,0,53,811,20
Bundesliga,2017-2018,2,Schalke 04,Matija NastasiÄ‡,0,53,811,21
Bundesliga,2017-2018,2,Schalke 04,Max Meyer,0,53,811,22
Bundesliga,2017-2018,2,Schalke 04,Pablo Insua,0,53,811,23
Bundesliga,2017-2018,2,Schalke 04,Ralf FÃ¤hrmann,0,53,811,24
Bundesliga,2017-2018,3,Hoffenheim,Mark Uth,14,66,811,1
Bundesliga,2017-2018,3,Hoffenheim,Andrej KramariÄ‡,13,66,811,2
Bundesliga,2017-2018,3,Hoffenheim,Serge Gnabry,10,66,811,3
Bundesliga,2017-2018,3,Hoffenheim,ÃdÃ¡m Szalai,5,66,811,4
Bundesliga,2017-2018,3,Hoffenheim,Sandro Wagner,4,66,811,5
Bundesliga,2017-2018,3,Hoffenheim,Benjamin HÃ¼bner,3,66,811,6
Bundesliga,2017-2018,3,Hoffenheim,Lukas Rupp,3,66,811,7
Bundesliga,2017-2018,3,Hoffenheim,Dennis Geiger,2,66,811,8
Bundesliga,2017-2018,3,Hoffenheim,Kerem Demirbay,2,66,811,9
Bundesliga,2017-2018,3,Hoffenheim,Nadiem Amiri,2,66,811,10
Bundesliga,2017-2018,3,Hoffenheim,Pavel KadeÅ™Ã¡bek,2,66,811,11
Bundesliga,2017-2018,3,Hoffenheim,Nico Schulz,1,66,811,12
Bundesliga,2017-2018,3,Hoffenheim,Florian Grillitsch,1,66,811,13
Bundesliga,2017-2018,3,Hoffenheim,Steven Zuber,1,66,811,14
Bundesliga,2017-2018,3,Hoffenheim,Robin Hack,1,66,811,15
Bundesliga,2017-2018,3,Hoffenheim,Ermin BiÄakÄiÄ‡,0,66,811,16
Bundesliga,2017-2018,3,Hoffenheim,Stefan Posch,0,66,811,17
Bundesliga,2017-2018,3,Hoffenheim,Robert Å½ulj,0,66,811,18
Bundesliga,2017-2018,3,Hoffenheim,Philipp Ochs,0,66,811,19
Bundesliga,2017-2018,3,Hoffenheim,Oliver Baumann,0,66,811,20
Bundesliga,2017-2018,3,Hoffenheim,Kevin Vogt,0,66,811,21
Bundesliga,2017-2018,3,Hoffenheim,Kevin Akpoguma,0,66,811,22
Bundesliga,2017-2018,3,Hoffenheim,Jeremy Toljan,0,66,811,23
Bundesliga,2017-2018,3,Hoffenheim,HÃ¥vard Nordtveit,0,66,811,24
Bundesliga,2017-2018,3,Hoffenheim,Eugen Polanski,0,66,811,25
Bundesliga,2017-2018,3,Hoffenheim,Felix Passlack,0,66,811,26
Bundesliga,2017-2018,4,Dortmund,Pierre-Emerick Aubameyang,13,64,811,1
Bundesliga,2017-2018,4,Dortmund,Maximilian Philipp,9,64,811,2
Bundesliga,2017-2018,4,Dortmund,Michy Batshuayi,7,64,811,3
Bundesliga,2017-2018,4,Dortmund,Marco Reus,7,64,811,4
Bundesliga,2017-2018,4,Dortmund,Shinji Kagawa,5,64,811,5
Bundesliga,2017-2018,4,Dortmund,Christian Pulisic,4,64,811,6
Bundesliga,2017-2018,4,Dortmund,Andriy Yarmolenko,3,64,811,7
Bundesliga,2017-2018,4,Dortmund,Marc Bartra,2,64,811,8
Bundesliga,2017-2018,4,Dortmund,Mario GÃ¶tze,2,64,811,9
Bundesliga,2017-2018,4,Dortmund,Nuri Åžahin,2,64,811,10
Bundesliga,2017-2018,4,Dortmund,Sokratis Papastathopoulos,2,64,811,11
Bundesliga,2017-2018,4,Dortmund,Dan-Axel Zagadou,1,64,811,12
Bundesliga,2017-2018,4,Dortmund,RaphaÃ«l Guerreiro,1,64,811,13
Bundesliga,2017-2018,4,Dortmund,Julian Weigl,1,64,811,14
Bundesliga,2017-2018,4,Dortmund,Jadon Sancho,1,64,811,15
Bundesliga,2017-2018,4,Dortmund,AndrÃ© SchÃ¼rrle,1,64,811,16
Bundesliga,2017-2018,4,Dortmund,Jeremy Toljan,1,64,811,17
Bundesliga,2017-2018,4,Dortmund,Alexander Isak,0,64,811,18
Bundesliga,2017-2018,4,Dortmund,Marcel Schmelzer,0,64,811,19
Bundesliga,2017-2018,4,Dortmund,Manuel Akanji,0,64,811,20
Bundesliga,2017-2018,4,Dortmund,Mahmoud Dahoud,0,64,811,21
Bundesliga,2017-2018,4,Dortmund,Jacob Bruun Larsen,0,64,811,22
Bundesliga,2017-2018,4,Dortmund,Gonzalo Castro,0,64,811,23
Bundesliga,2017-2018,4,Dortmund,Felix Passlack,0,64,811,24
Bundesliga,2017-2018,4,Dortmund,Neven SubotiÄ‡,0,64,811,25
Bundesliga,2017-2018,4,Dortmund,Ã–mer Toprak,0,64,811,26
Bundesliga,2017-2018,4,Dortmund,Roman BÃ¼rki,0,64,811,27
Bundesliga,2017-2018,4,Dortmund,Roman Weidenfeller,0,64,811,28
Bundesliga,2017-2018,4,Dortmund,Sergio GÃ³mez,0,64,811,29
Bundesliga,2017-2018,4,Dortmund,Åukasz Piszczek,0,64,811,30
Bundesliga,2017-2018,5,Leverkusen,Kevin Volland,14,58,811,1
Bundesliga,2017-2018,5,Leverkusen,Julian Brandt,9,58,811,2
Bundesliga,2017-2018,5,Leverkusen,Leon Bailey,9,58,811,3
Bundesliga,2017-2018,5,Leverkusen,Lucas Alario,9,58,811,4
Bundesliga,2017-2018,5,Leverkusen,Kai Havertz,3,58,811,5
Bundesliga,2017-2018,5,Leverkusen,Sven Bender,2,58,811,6
Bundesliga,2017-2018,5,Leverkusen,Wendell,2,58,811,7
Bundesliga,2017-2018,5,Leverkusen,Admir Mehmedi,2,58,811,8
Bundesliga,2017-2018,5,Leverkusen,Lars Bender,2,58,811,9
Bundesliga,2017-2018,5,Leverkusen,Joel Pohjanpalo,1,58,811,10
Bundesliga,2017-2018,5,Leverkusen,Dominik Kohr,1,58,811,11
Bundesliga,2017-2018,5,Leverkusen,Julian Baumgartlinger,1,58,811,12
Bundesliga,2017-2018,5,Leverkusen,Karim Bellarabi,1,58,811,13
Bundesliga,2017-2018,5,Leverkusen,Panagiotis Retsos,1,58,811,14
Bundesliga,2017-2018,5,Leverkusen,Charles ArÃ¡nguiz,1,58,811,15
Bundesliga,2017-2018,5,Leverkusen,Stefan KieÃŸling,0,58,811,16
Bundesliga,2017-2018,5,Leverkusen,Jonathan Tah,0,58,811,17
Bundesliga,2017-2018,5,Leverkusen,Aleksandar DragoviÄ‡,0,58,811,18
Bundesliga,2017-2018,5,Leverkusen,Ramazan Ã–zcan,0,58,811,19
Bundesliga,2017-2018,5,Leverkusen,AndrÃ© Ramalho,0,58,811,20
Bundesliga,2017-2018,5,Leverkusen,Bernd Leno,0,58,811,21
Bundesliga,2017-2018,5,Leverkusen,Benjamin Henrichs,0,58,811,22
Bundesliga,2017-2018,5,Leverkusen,Tin Jedvaj,0,58,811,23
Bundesliga,2017-2018,5,Leverkusen,Kevin Kampl,0,58,811,24
Bundesliga,2017-2018,6,RB Leipzig,Timo Werner,13,57,811,1
Bundesliga,2017-2018,6,RB Leipzig,Jean-KÃ©vin Augustin,9,57,811,2
Bundesliga,2017-2018,6,RB Leipzig,Naby KeÃ¯ta,6,57,811,3
Bundesliga,2017-2018,6,RB Leipzig,Ademola Lookman,5,57,811,4
Bundesliga,2017-2018,6,RB Leipzig,Bruma,4,57,811,5
Bundesliga,2017-2018,6,RB Leipzig,Yussuf Poulsen,4,57,811,6
Bundesliga,2017-2018,6,RB Leipzig,Willi Orban,3,57,811,7
Bundesliga,2017-2018,6,RB Leipzig,Marcel Sabitzer,3,57,811,8
Bundesliga,2017-2018,6,RB Leipzig,Dayot Upamecano,3,57,811,9
Bundesliga,2017-2018,6,RB Leipzig,Emil Forsberg,2,57,811,10
Bundesliga,2017-2018,6,RB Leipzig,Marcel Halstenberg,2,57,811,11
Bundesliga,2017-2018,6,RB Leipzig,Bernardo,1,57,811,12
Bundesliga,2017-2018,6,RB Leipzig,Kevin Kampl,1,57,811,13
Bundesliga,2017-2018,6,RB Leipzig,Lukas Klostermann,1,57,811,14
Bundesliga,2017-2018,6,RB Leipzig,PÃ©ter GulÃ¡csi,0,57,811,15
Bundesliga,2017-2018,6,RB Leipzig,Marvin Compper,0,57,811,16
Bundesliga,2017-2018,6,RB Leipzig,Konrad Laimer,0,57,811,17
Bundesliga,2017-2018,6,RB Leipzig,Ibrahima KonatÃ©,0,57,811,18
Bundesliga,2017-2018,6,RB Leipzig,Dominik Kaiser,0,57,811,19
Bundesliga,2017-2018,6,RB Leipzig,Diego Demme,0,57,811,20
Bundesliga,2017-2018,6,RB Leipzig,Benno Schmitz,0,57,811,21
Bundesliga,2017-2018,6,RB Leipzig,Yvon Mvogo,0,57,811,22
Bundesliga,2017-2018,6,RB Leipzig,Stefan Ilsanker,0,57,811,23
Bundesliga,2018-2019,1,Bayern Munich,Robert Lewandowski,22,88,942,1
Bundesliga,2018-2019,1,Bayern Munich,Serge Gnabry,10,88,942,2
Bundesliga,2018-2019,1,Bayern Munich,Leon Goretzka,8,88,942,3
Bundesliga,2018-2019,1,Bayern Munich,James RodrÃ­guez,7,88,942,4
Bundesliga,2018-2019,1,Bayern Munich,Thomas MÃ¼ller,6,88,942,5
Bundesliga,2018-2019,1,Bayern Munich,Kingsley Coman,6,88,942,6
Bundesliga,2018-2019,1,Bayern Munich,Franck RibÃ©ry,6,88,942,7
Bundesliga,2018-2019,1,Bayern Munich,Arjen Robben,4,88,942,8
Bundesliga,2018-2019,1,Bayern Munich,Javi MartÃ­nez,3,88,942,9
Bundesliga,2018-2019,1,Bayern Munich,David Alaba,3,88,942,10
Bundesliga,2018-2019,1,Bayern Munich,Niklas SÃ¼le,2,88,942,11
Bundesliga,2018-2019,1,Bayern Munich,Joshua Kimmich,2,88,942,12
Bundesliga,2018-2019,1,Bayern Munich,Thiago AlcÃ¡ntara,2,88,942,13
Bundesliga,2018-2019,1,Bayern Munich,Renato Sanches,1,88,942,14
Bundesliga,2018-2019,1,Bayern Munich,Rafinha,1,88,942,15
Bundesliga,2018-2019,1,Bayern Munich,Mats Hummels,1,88,942,16
Bundesliga,2018-2019,1,Bayern Munich,Corentin Tolisso,1,88,942,17
Bundesliga,2018-2019,1,Bayern Munich,Alphonso Davies,1,88,942,18
Bundesliga,2018-2019,1,Bayern Munich,Manuel Neuer,0,88,942,19
Bundesliga,2018-2019,1,Bayern Munich,JÃ©rÃ´me Boateng,0,88,942,20
Bundesliga,2018-2019,1,Bayern Munich,Meritan Shabani,0,88,942,21
Bundesliga,2018-2019,1,Bayern Munich,Sandro Wagner,0,88,942,22
Bundesliga,2018-2019,1,Bayern Munich,Sven Ulreich,0,88,942,23
Bundesliga,2018-2019,1,Bayern Munich,Jeong Woo-yeong,0,88,942,24
Bundesliga,2018-2019,2,Dortmund,Paco AlcÃ¡cer,18,81,942,1
Bundesliga,2018-2019,2,Dortmund,Marco Reus,17,81,942,2
Bundesliga,2018-2019,2,Dortmund,Jadon Sancho,12,81,942,3
Bundesliga,2018-2019,2,Dortmund,Mario GÃ¶tze,7,81,942,4
Bundesliga,2018-2019,2,Dortmund,Christian Pulisic,4,81,942,5
Bundesliga,2018-2019,2,Dortmund,Axel Witsel,4,81,942,6
Bundesliga,2018-2019,2,Dortmund,Thomas Delaney,3,81,942,7
Bundesliga,2018-2019,2,Dortmund,Jacob Bruun Larsen,2,81,942,8
Bundesliga,2018-2019,2,Dortmund,RaphaÃ«l Guerreiro,2,81,942,9
Bundesliga,2018-2019,2,Dortmund,Dan-Axel Zagadou,2,81,942,10
Bundesliga,2018-2019,2,Dortmund,Achraf Hakimi,2,81,942,11
Bundesliga,2018-2019,2,Dortmund,Marius Wolf,1,81,942,12
Bundesliga,2018-2019,2,Dortmund,Manuel Akanji,1,81,942,13
Bundesliga,2018-2019,2,Dortmund,Mahmoud Dahoud,1,81,942,14
Bundesliga,2018-2019,2,Dortmund,Julian Weigl,1,81,942,15
Bundesliga,2018-2019,2,Dortmund,Åukasz Piszczek,1,81,942,16
Bundesliga,2018-2019,2,Dortmund,Abdou Diallo,1,81,942,17
Bundesliga,2018-2019,2,Dortmund,Maximilian Philipp,1,81,942,18
Bundesliga,2018-2019,2,Dortmund,Ã–mer Toprak,0,81,942,19
Bundesliga,2018-2019,2,Dortmund,Shinji Kagawa,0,81,942,20
Bundesliga,2018-2019,2,Dortmund,Roman BÃ¼rki,0,81,942,21
Bundesliga,2018-2019,2,Dortmund,Marwin Hitz,0,81,942,22
Bundesliga,2018-2019,2,Dortmund,Marcel Schmelzer,0,81,942,23
Bundesliga,2018-2019,3,RB Leipzig,Timo Werner,16,63,942,1
Bundesliga,2018-2019,3,RB Leipzig,Yussuf Poulsen,15,63,942,2
Bundesliga,2018-2019,3,RB Leipzig,Lukas Klostermann,5,63,942,3
Bundesliga,2018-2019,3,RB Leipzig,Marcel Sabitzer,4,63,942,4
Bundesliga,2018-2019,3,RB Leipzig,Willi Orban,4,63,942,5
Bundesliga,2018-2019,3,RB Leipzig,Emil Forsberg,4,63,942,6
Bundesliga,2018-2019,3,RB Leipzig,Jean-KÃ©vin Augustin,3,63,942,7
Bundesliga,2018-2019,3,RB Leipzig,Marcel Halstenberg,3,63,942,8
Bundesliga,2018-2019,3,RB Leipzig,Kevin Kampl,2,63,942,9
Bundesliga,2018-2019,3,RB Leipzig,Matheus Cunha,2,63,942,10
Bundesliga,2018-2019,3,RB Leipzig,Bruma,1,63,942,11
Bundesliga,2018-2019,3,RB Leipzig,Ibrahima KonatÃ©,1,63,942,12
Bundesliga,2018-2019,3,RB Leipzig,Konrad Laimer,1,63,942,13
Bundesliga,2018-2019,3,RB Leipzig,Nordi Mukiele,1,63,942,14
Bundesliga,2018-2019,3,RB Leipzig,Amadou Haidara,1,63,942,15
Bundesliga,2018-2019,3,RB Leipzig,Diego Demme,0,63,942,16
Bundesliga,2018-2019,3,RB Leipzig,Dayot Upamecano,0,63,942,17
Bundesliga,2018-2019,3,RB Leipzig,Yvon Mvogo,0,63,942,18
Bundesliga,2018-2019,3,RB Leipzig,Stefan Ilsanker,0,63,942,19
Bundesliga,2018-2019,3,RB Leipzig,Marcelo Saracchi,0,63,942,20
Bundesliga,2018-2019,3,RB Leipzig,PÃ©ter GulÃ¡csi,0,63,942,21
Bundesliga,2018-2019,3,RB Leipzig,Tyler Adams,0,63,942,22
Bundesliga,2018-2019,3,RB Leipzig,Emile Smith Rowe,0,63,942,23
Bundesliga,2018-2019,4,Leverkusen,Kai Havertz,17,69,942,1
Bundesliga,2018-2019,4,Leverkusen,Kevin Volland,14,69,942,2
Bundesliga,2018-2019,4,Leverkusen,Lucas Alario,9,69,942,3
Bundesliga,2018-2019,4,Leverkusen,Julian Brandt,7,69,942,4
Bundesliga,2018-2019,4,Leverkusen,Leon Bailey,5,69,942,5
Bundesliga,2018-2019,4,Leverkusen,Karim Bellarabi,5,69,942,6
Bundesliga,2018-2019,4,Leverkusen,Jonathan Tah,3,69,942,7
Bundesliga,2018-2019,4,Leverkusen,Wendell,2,69,942,8
Bundesliga,2018-2019,4,Leverkusen,Aleksandar DragoviÄ‡,2,69,942,9
Bundesliga,2018-2019,4,Leverkusen,Charles ArÃ¡nguiz,2,69,942,10
Bundesliga,2018-2019,4,Leverkusen,Lars Bender,1,69,942,11
Bundesliga,2018-2019,4,Leverkusen,Mitchell Weiser,1,69,942,12
Bundesliga,2018-2019,4,Leverkusen,LukÃ¡Å¡ HrÃ¡deckÃ½,0,69,942,13
Bundesliga,2018-2019,4,Leverkusen,Sven Bender,0,69,942,14
Bundesliga,2018-2019,4,Leverkusen,Paulinho,0,69,942,15
Bundesliga,2018-2019,4,Leverkusen,Julian Baumgartlinger,0,69,942,16
Bundesliga,2018-2019,4,Leverkusen,Isaac Kiese Thelin,0,69,942,17
Bundesliga,2018-2019,4,Leverkusen,Dominik Kohr,0,69,942,18
Bundesliga,2018-2019,4,Leverkusen,Benjamin Henrichs,0,69,942,19
Bundesliga,2018-2019,4,Leverkusen,Tin Jedvaj,0,69,942,20
Bundesliga,2018-2019,4,Leverkusen,Ramazan Ã–zcan,0,69,942,21
Bundesliga,2018-2019,5,M'Gladbach,Alassane PlÃ©a,12,55,942,1
Bundesliga,2018-2019,5,M'Gladbach,Thorgan Hazard,10,55,942,2
Bundesliga,2018-2019,5,M'Gladbach,Jonas Hofmann,5,55,942,3
Bundesliga,2018-2019,5,M'Gladbach,Denis Zakaria,4,55,942,4
Bundesliga,2018-2019,5,M'Gladbach,Patrick Herrmann,3,55,942,5
Bundesliga,2018-2019,5,M'Gladbach,Lars Stindl,3,55,942,6
Bundesliga,2018-2019,5,M'Gladbach,Florian Neuhaus,3,55,942,7
Bundesliga,2018-2019,5,M'Gladbach,Nico Elvedi,2,55,942,8
Bundesliga,2018-2019,5,M'Gladbach,Christoph Kramer,2,55,942,9
Bundesliga,2018-2019,5,M'Gladbach,Matthias Ginter,2,55,942,10
Bundesliga,2018-2019,5,M'Gladbach,Josip DrmiÄ‡,2,55,942,11
Bundesliga,2018-2019,5,M'Gladbach,Raffael,2,55,942,12
Bundesliga,2018-2019,5,M'Gladbach,Oscar Wendt,1,55,942,13
Bundesliga,2018-2019,5,M'Gladbach,Michael Lang,1,55,942,14
Bundesliga,2018-2019,5,M'Gladbach,Fabian Johnson,1,55,942,15
Bundesliga,2018-2019,5,M'Gladbach,Tobias Strobl,0,55,942,16
Bundesliga,2018-2019,5,M'Gladbach,Tony Jantschke,0,55,942,17
Bundesliga,2018-2019,5,M'Gladbach,MickaÃ«l Cuisance,0,55,942,18
Bundesliga,2018-2019,5,M'Gladbach,LÃ¡szlÃ³ BÃ©nes,0,55,942,19
Bundesliga,2018-2019,5,M'Gladbach,Jordan Beyer,0,55,942,20
Bundesliga,2018-2019,5,M'Gladbach,Ibrahima TraorÃ©,0,55,942,21
Bundesliga,2018-2019,5,M'Gladbach,Yann Sommer,0,55,942,22
Bundesliga,2018-2019,6,Wolfsburg,Wout Weghorst,17,62,942,1
Bundesliga,2018-2019,6,Wolfsburg,Admir Mehmedi,6,62,942,2
Bundesliga,2018-2019,6,Wolfsburg,Daniel Ginczek,6,62,942,3
Bundesliga,2018-2019,6,Wolfsburg,Renato Steffen,5,62,942,4
Bundesliga,2018-2019,6,Wolfsburg,Robin Knoche,3,62,942,5
Bundesliga,2018-2019,6,Wolfsburg,Josip Brekalo,3,62,942,6
Bundesliga,2018-2019,6,Wolfsburg,John Brooks,3,62,942,7
Bundesliga,2018-2019,6,Wolfsburg,JÃ©rÃ´me Roussillon,3,62,942,8
Bundesliga,2018-2019,6,Wolfsburg,Josuha Guilavogui,2,62,942,9
Bundesliga,2018-2019,6,Wolfsburg,Elvis RexhbeÃ§aj,2,62,942,10
Bundesliga,2018-2019,6,Wolfsburg,Yannick Gerhardt,2,62,942,11
Bundesliga,2018-2019,6,Wolfsburg,William,2,62,942,12
Bundesliga,2018-2019,6,Wolfsburg,Maximilian Arnold,2,62,942,13
Bundesliga,2018-2019,6,Wolfsburg,Marcel Tisserand,1,62,942,14
Bundesliga,2018-2019,6,Wolfsburg,Yunus MallÄ±,1,62,942,15
Bundesliga,2018-2019,6,Wolfsburg,Felix Klaus,1,62,942,16
Bundesliga,2018-2019,6,Wolfsburg,Sebastian Jung,0,62,942,17
Bundesliga,2018-2019,6,Wolfsburg,Pavao Pervan,0,62,942,18
Bundesliga,2018-2019,6,Wolfsburg,Paul Verhaegh,0,62,942,19
Bundesliga,2018-2019,6,Wolfsburg,Ohis Felix Uduokhai,0,62,942,20
Bundesliga,2018-2019,6,Wolfsburg,Koen Casteels,0,62,942,21
Bundesliga,2018-2019,6,Wolfsburg,John Yeboah,0,62,942,22
Bundesliga,2018-2019,6,Wolfsburg,Jakub BÅ‚aszczykowski,0,62,942,23
Bundesliga,2018-2019,6,Wolfsburg,Ignacio Camacho,0,62,942,24
Bundesliga,2018-2019,6,Wolfsburg,Gian-Luca Itter,0,62,942,25
Bundesliga,2019-2020,1,Bayern Munich,Robert Lewandowski,34,100,982,1
Bundesliga,2019-2020,1,Bayern Munich,Serge Gnabry,12,100,982,2
Bundesliga,2019-2020,1,Bayern Munich,Philippe Coutinho,8,100,982,3
Bundesliga,2019-2020,1,Bayern Munich,Thomas MÃ¼ller,8,100,982,4
Bundesliga,2019-2020,1,Bayern Munich,Leon Goretzka,6,100,982,5
Bundesliga,2019-2020,1,Bayern Munich,Ivan PeriÅ¡iÄ‡,4,100,982,6
Bundesliga,2019-2020,1,Bayern Munich,Kingsley Coman,4,100,982,7
Bundesliga,2019-2020,1,Bayern Munich,Joshua Kimmich,4,100,982,8
Bundesliga,2019-2020,1,Bayern Munich,Benjamin Pavard,4,100,982,9
Bundesliga,2019-2020,1,Bayern Munich,Joshua Zirkzee,4,100,982,10
Bundesliga,2019-2020,1,Bayern Munich,Alphonso Davies,3,100,982,11
Bundesliga,2019-2020,1,Bayern Munich,Thiago AlcÃ¡ntara,3,100,982,12
Bundesliga,2019-2020,1,Bayern Munich,Corentin Tolisso,1,100,982,13
Bundesliga,2019-2020,1,Bayern Munich,David Alaba,1,100,982,14
Bundesliga,2019-2020,1,Bayern Munich,MickaÃ«l Cuisance,1,100,982,15
Bundesliga,2019-2020,1,Bayern Munich,Leon Dajaku,0,100,982,16
Bundesliga,2019-2020,1,Bayern Munich,Javi MartÃ­nez,0,100,982,17
Bundesliga,2019-2020,1,Bayern Munich,Ãlvaro Odriozola,0,100,982,18
Bundesliga,2019-2020,1,Bayern Munich,Chris Richards,0,100,982,19
Bundesliga,2019-2020,1,Bayern Munich,Kwasi Okyere Wriedt,0,100,982,20
Bundesliga,2019-2020,1,Bayern Munich,Niklas SÃ¼le,0,100,982,21
Bundesliga,2019-2020,1,Bayern Munich,Jamal Musiala,0,100,982,22
Bundesliga,2019-2020,1,Bayern Munich,Oliver Batista-Meier,0,100,982,23
Bundesliga,2019-2020,1,Bayern Munich,Manuel Neuer,0,100,982,24
Bundesliga,2019-2020,1,Bayern Munich,Sven Ulreich,0,100,982,25
Bundesliga,2019-2020,1,Bayern Munich,Sarpreet Singh,0,100,982,26
Bundesliga,2019-2020,1,Bayern Munich,Renato Sanches,0,100,982,27
Bundesliga,2019-2020,1,Bayern Munich,Lucas HernÃ¡ndez,0,100,982,28
Bundesliga,2019-2020,1,Bayern Munich,JÃ©rÃ´me Boateng,0,100,982,29
Bundesliga,2019-2020,2,Dortmund,Jadon Sancho,17,84,982,1
Bundesliga,2019-2020,2,Dortmund,Erling Haaland,13,84,982,2
Bundesliga,2019-2020,2,Dortmund,Marco Reus,11,84,982,3
Bundesliga,2019-2020,2,Dortmund,RaphaÃ«l Guerreiro,8,84,982,4
Bundesliga,2019-2020,2,Dortmund,Thorgan Hazard,7,84,982,5
Bundesliga,2019-2020,2,Dortmund,Paco AlcÃ¡cer,5,84,982,6
Bundesliga,2019-2020,2,Dortmund,Achraf Hakimi,5,84,982,7
Bundesliga,2019-2020,2,Dortmund,Axel Witsel,4,84,982,8
Bundesliga,2019-2020,2,Dortmund,Mario GÃ¶tze,3,84,982,9
Bundesliga,2019-2020,2,Dortmund,Julian Brandt,3,84,982,10
Bundesliga,2019-2020,2,Dortmund,Emre Can,2,84,982,11
Bundesliga,2019-2020,2,Dortmund,Julian Weigl,1,84,982,12
Bundesliga,2019-2020,2,Dortmund,Marcel Schmelzer,1,84,982,13
Bundesliga,2019-2020,2,Dortmund,Mats Hummels,1,84,982,14
Bundesliga,2019-2020,2,Dortmund,Åukasz Piszczek,1,84,982,15
Bundesliga,2019-2020,2,Dortmund,Nico Schulz,1,84,982,16
Bundesliga,2019-2020,2,Dortmund,Dan-Axel Zagadou,1,84,982,17
Bundesliga,2019-2020,2,Dortmund,Roman BÃ¼rki,0,84,982,18
Bundesliga,2019-2020,2,Dortmund,Gio Reyna,0,84,982,19
Bundesliga,2019-2020,2,Dortmund,Jacob Bruun Larsen,0,84,982,20
Bundesliga,2019-2020,2,Dortmund,Leonardo Balerdi,0,84,982,21
