cluster_label,Wins,Draws,Losses,Points,Goals_For,Goals_Against,Goal_Differential,Possession,Wages,pred_cluster,League
1st,26.22222222222222,6.833333333333334,4.944444444444445,85.5,93.22222222222223,34.66666666666667,58.55555555555556,61.8875,242138108.2222222,1.0,LaLiga
2nd,23.555555555555557,8.88888888888889,5.555555555555555,79.55555555555556,63.666666666666664,27.333333333333332,36.333333333333336,49.2125,120236610.0,4.0,LaLiga
3rd,15.388888888888888,10.277777777777777,12.333333333333334,56.444444444444436,53.11111111111111,46.64814814814815,6.462962962962963,52.10833333333333,47610331.72222222,2.0,LaLiga
4th,10.977272727272727,9.99556277056277,17.027164502164503,42.92738095238096,39.81244588744589,54.35194805194806,-14.539502164502164,46.5534632034632,21473092.26796537,0.0,LaLiga
5th,7.875,13.375,16.75,37.0,37.0625,57.6875,-20.625,44.33541666666667,17917704.3125,3.0,LaLiga
6th,8.671428571428573,8.56938775510204,20.759183673469387,34.36938775510204,37.92380952380952,66.40612244897959,-28.482312925170067,47.721428571428575,13008034.108163266,5.0,LaLiga
