cluster_label,Wins,Draws,Losses,Points,Goals_For,Goals_Against,Goal_Differential,Possession,Wages,pred_cluster,League
1st,27.2,6.2,4.6,87.8,75.0,28.7,46.3,56.125,156104064.4,4.0,Serie A
2nd,20.48,8.879999999999999,8.64,70.32000000000001,67.42,41.36,26.060000000000002,55.30749999999999,83654128.76,3.0,Serie A
3rd,14.533333333333333,11.1,12.366666666666667,54.6,56.03333333333333,48.63333333333333,7.3999999999999995,52.15,36527407.266666666,0.0,Serie A
4th,10.250124007936508,10.142410714285715,17.607465277777777,40.411830357142854,42.58792162698413,58.94340277777778,-16.35548115079365,46.378367346938774,24528309.23015873,1.0,Serie A
5th,5.875,9.875,22.25,27.5,33.75,73.125,-39.375,42.125,18696494.375,5.0,Serie A
6th,6.888888888888888,6.5,24.61111111111111,27.166666666666668,38.333333333333336,80.11111111111111,-41.77777777777778,43.325,18434370.88888889,2.0,Serie A
