"League","Squad","SumOfMP","SumOfW","SumOfL","SumOfD","SumOfGF","SumOfGA","SumOfGD","SumOfGD1","SumOfPts","SumOfAnnual Wages ($)","Cluster_Label"
"EPL","Sunderland",152.00,32.00,77.00,43.00,149.00,244.00,-95.00,-95.00,139.00,211815501.00,"5th"
"EPL","Swansea City",190.00,59.00,89.00,42.00,215.00,281.00,-66.00,-66.00,219.00,218242806.00,"4th"
"EPL","Tottenham",380.00,205.00,101.00,74.00,677.00,435.00,242.00,242.00,689.00,1070126118.00,"2nd"
"EPL","Watford",228.00,62.00,119.00,47.00,246.00,382.00,-136.00,-136.00,233.00,323177158.00,"4th"
"EPL","West Brom",228.00,51.00,105.00,72.00,224.00,341.00,-117.00,-117.00,225.00,302172299.00,"5th"
"EPL","West Ham",380.00,132.00,156.00,92.00,509.00,551.00,-42.00,-42.00,488.00,798010955.00,"3rd"
"EPL","Wolves",190.00,69.00,75.00,46.00,203.00,239.00,-36.00,-36.00,253.00,309490432.00,"3rd"
"LaLiga","Alavés",228.00,69.00,106.00,53.00,221.00,324.00,-103.00,-103.00,260.00,125034815.00,"4th"
"LaLiga","Almería",76.00,19.00,42.00,15.00,78.00,135.00,-57.00,-57.00,69.00,13636733.00,"6th"
"LaLiga","Athletic Club",342.00,133.00,110.00,99.00,431.00,378.00,53.00,53.00,498.00,394983233.00,"3rd"
"LaLiga","Atlético Madrid",342.00,212.00,50.00,80.00,573.00,246.00,327.00,327.00,716.00,1082129490.00,"2nd"
"LaLiga","Barcelona",342.00,238.00,42.00,62.00,866.00,299.00,567.00,567.00,776.00,2247388929.00,"1st"
"LaLiga","Betis",304.00,105.00,128.00,71.00,375.00,457.00,-82.00,-82.00,386.00,242124636.00,"4th"
"LaLiga","Cádiz",76.00,19.00,31.00,26.00,71.00,109.00,-38.00,-38.00,83.00,40112240.00,"5th"
"LaLiga","Córdoba",38.00,3.00,24.00,11.00,22.00,68.00,-46.00,-46.00,20.00,8693024.00,"6th"
"LaLiga","Celta Vigo",342.00,113.00,137.00,92.00,447.00,497.00,-50.00,-50.00,431.00,318031129.00,"3rd"
"LaLiga","Eibar",266.00,77.00,118.00,71.00,297.00,375.00,-78.00,-78.00,302.00,115527522.00,"4th"
"LaLiga","Elche",152.00,39.00,71.00,42.00,139.00,219.00,-80.00,-80.00,159.00,49762205.00,"4th"
"LaLiga","Espanyol",304.00,92.00,129.00,83.00,328.00,429.00,-101.00,-101.00,359.00,206052157.00,"4th"
"LaLiga","Getafe",304.00,91.00,126.00,87.00,299.00,374.00,-75.00,-75.00,360.00,169985784.00,"4th"
"LaLiga","Girona",76.00,23.00,34.00,19.00,87.00,112.00,-25.00,-25.00,88.00,32752215.00,"4th"
"LaLiga","Granada",266.00,70.00,131.00,65.00,280.00,442.00,-162.00,-162.00,275.00,140471295.00,"6th"
"LaLiga","Huesca",76.00,14.00,37.00,25.00,77.00,118.00,-41.00,-41.00,67.00,33270940.00,"5th"
"LaLiga","La Coruña",152.00,29.00,68.00,55.00,161.00,258.00,-97.00,-97.00,142.00,76714655.00,"5th"
"LaLiga","Las Palmas",114.00,27.00,63.00,24.00,122.00,201.00,-79.00,-79.00,105.00,42693648.00,"6th"
"LaLiga","Leganés",152.00,39.00,71.00,42.00,137.00,200.00,-63.00,-63.00,159.00,35995024.00,"4th"
"LaLiga","Levante",304.00,82.00,136.00,86.00,353.00,490.00,-137.00,-137.00,332.00,164409217.00,"4th"
"LaLiga","Málaga",190.00,55.00,91.00,44.00,192.00,245.00,-53.00,-53.00,209.00,98415618.00,"4th"
"LaLiga","Mallorca",76.00,19.00,42.00,15.00,76.00,128.00,-52.00,-52.00,72.00,34558080.00,"6th"
"LaLiga","Osasuna",190.00,50.00,86.00,54.00,192.00,309.00,-117.00,-117.00,204.00,82723334.00,"4th"
"LaLiga","Rayo Vallecano",190.00,56.00,98.00,36.00,224.00,341.00,-117.00,-117.00,204.00,67897297.00,"6th"
