City,Club,Stadium,Cap,Country,Longitude,Latitude
Bordeaux,--,Stade Chaban-Delmas,"34,263",France,-0.5982637651385234,44.82930795
Bourg-en-Bresse,FBBP 01,Stade Marcel Verchere,"11,500",France,5.237150019790997,46.2100024
Brest,Stade Brestois 29,Stade Francis-Le Ble,"15,097",France,-4.461360468532405,48.40304225
Caen,Stade Malherbe Caen,Stade Michel d'Ornano,"21,000",France,-0.39673864840637596,49.1794955
Chateauroux,Le Berrichonne de Chateauroux,Stade Gaston Petit,"17,000",France,1.7214838732864117,46.80202385
Dijon,Dijon FCO,Stade Gaston-Gerard,"16,000",France,5.068339451982335,47.32430825
Grenoble,Grenoble Foot 38,Stade des Alpes,"20,000",France,5.740127055011689,45.1874311
Guingamp,EA Guingamp,Stade du Roudourou,"18,250",France,-3.164537,48.566102
Le Havre,Havre AC,Stade Oceane,"25,278",France,0.16946374992792365,49.498751299999995
Le Mans,Le Mans FC,MMArena,"25,000",France,0.2231086968191917,47.959165150000004
Lens,RC Lens,Stade Bollaert-Delelis,"38,223",France,2.814987838461538,50.43281
Lille,Lille OSC,Stade Pierre Mauroy,"50,000",France,3.130499794921957,50.6118552
Lorient,FC Lorient,Stade du Moustoir,"14,340",France,-3.369303194596491,47.748868599999994
Lyon,Olympique Lyonnais,Groupama Stadium,"59,186",France,4.9820543110736715,45.7653624
Lyon,--,Stade Gerland,"40,494",France,4.832254170853934,45.723776150000006
Marseille,Olympique de Marseille,Orange Velodrome,"67,000",France,5.395911664099216,43.26983495
Metz,FC Metz,Stade Saint-Symphorien,"26,600",France,6.159489477003396,49.1097854
Monaco,AS Monaco FC,Stade Louis II,"18,523",France,7.415457695296748,43.727571299999994
Montbeliard,FC Sochaux,Stade Auguste Bonal,"20,000",France,6.811175299839,47.512408
Montpellier,Montpellier HSC,Stade de la Mosson,"32,900",France,3.8120897642189204,43.622021950000004
Nancy,AS Nancy Lorraine,Stade Marcel-Picot,"20,087",France,6.210416370704645,48.6958314
Nantes,FC Nantes,Stade de La Beaujoire,"37,473",France,-1.524755249963072,47.256004950000005
Nice,OGC Nice,Allianz Riviera,"35,624",France,7.192603345064198,43.705147749999995
Nimes,Nimes Olympique,Stade des Costieres,"29,487",France,4.359280783666195,43.81603015
Niort,Chamois Niortais,Stade Rene Gaillard,"11,352",France,-0.4895504242337096,46.3169415
Paris,Paris FC,Stade Charlety,"20,000",France,2.3457777,48.8194749
Paris,Paris Saint-Germain,Parc des Princes,"48,527",France,2.2530693162378235,48.841363400000006
Reims,Stade de Reims,Stade Auguste Delaune,"21,684",France,4.024786888254141,49.24707575
Rennes,Stade Rennais FC,Roazhon Park,"29,778",France,-1.7128879913641657,48.10749405
Saint-Denis,--,Stade de France,"80,000",France,2.3601325226927248,48.924472550000004
Saint-Etienne,AS Saint-Etienne,Stade Geoffroy Guichard,"41,500",France,4.390093207379497,45.46075665
Strasbourg,RC Strasbourg Alsace,Stade de la Meinau,"27,500",France,7.755125193344087,48.5600477
Toulouse,Toulouse FC,Stadium de Toulouse,"35,472",France,1.4340637925204875,43.5832262
Troyes,ES Troyes AC,Stade de l'Aube,"20,400",France,4.0985168000000005,48.30751705
Valenciennes,Valenciennes FC,Stade du Hainaut,"24,926",France,3.531745472759156,50.3484274
Aachen,Alemannia Aachen,Tivoli,"32,960",Germany,12.798884,41.960922
Aue,Erzgebirge Aue,Erzgebirgsstadion,"16,485",Germany,12.711304716869126,50.59779025
Augsburg,FC Augsburg,WWK Arena,"30,660",Germany,10.885159340550722,48.3231179
Berlin,FC Union Berlin,Stadion An der Alten Försterei,"22,012",Germany,13.568099573022703,52.45695055
Berlin,Hertha BSC,Olympiastadion,"74,649",Germany,-73.55164580516643,45.55779835
Bielefeld,Arminia Bielefeld,SchucoArena,"26,515",Germany,8.515774456510794,52.03202585
Bochum,VFL Bochum,Vonovia Ruhrstadion,"29,299",Germany,7.236509134925111,51.4900826
Bremen,Werder Bremen,Weserstadion,"42,100",Germany,8.83767181513466,53.06644785
Brunswick,Eintracht Braunschweig,Eintracht-Stadion,"23,325",Germany,10.521468605741106,52.2901014
Cologne,1. FC Koln,RheinEnergieStadion,"50,000",Germany,6.876025544484957,50.933505499999995
Cottbus,Energie Cottbus,Stadion der Freundschaft,"22,528",Germany,14.345578999999997,51.751623050000006
Darmstadt,SV Darmstadt 98,Stadion am Bollenfalltor,"17,400",Germany,8.6724167,49.8577101
Dortmund,Borussia Dortmund,Signal Iduna Park,"81,359",Germany,7.450861988386729,51.49260955
Dresden,Dynamo Dresden,Rudolf-Harbig-Stadion,"32,249",Germany,13.748037903418052,51.0408547
Duisburg,MSV Duisburg,Schauinsland-Reisen-Stadion,"31,500",Germany,6.778601778060477,51.409118449999994
Dusseldorf,Fortuna Dusseldorf,Merkur Spiel Arena,"54,600",Germany,6.7331515313011066,51.261629850000006
Essen,Rot-Weiss Essen,Stadion Essen,"20,650",Germany,6.976615808810319,51.4868685
Frankfurt,Eintracht Frankfurt,Deutsche Bank Park,"51,500",Germany,8.645462952099116,50.06859935
Freiburg,SC Freiburg,Schwarzwald-Stadion,"24,000",Germany,8.203711,48.142768
