Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Timo Becker,Schalke 04,20,18,"1,640",18.2,0,0.00,2020-2021,Bundesliga
Brian Behrendt,Arminia,3,0,79,0.9,0,0.00,2020-2021,Bundesliga
Maximilian Beier,Hoffenheim,3,0,10,0.1,0,0.00,2020-2021,Bundesliga
Ishak Belfodil,Hoffenheim,14,7,596,6.6,0,0.00,2020-2021,Bundesliga
Stefan Bell,Mainz 05,16,16,"1,266",14.1,1,0.07,2020-2021,Bundesliga
Karim Bellarabi,Leverkusen,22,7,798,8.9,0,0.00,2020-2021,Bundesliga
Jude Bellingham,Dortmund,29,19,"1,697",18.9,1,0.05,2020-2021,Bundesliga
Lars Bender,Leverkusen,14,12,936,10.4,1,0.10,2020-2021,Bundesliga
Sven Bender,Leverkusen,18,14,"1,170",13.0,0,0.00,2020-2021,Bundesliga
László Bénes,Augsburg,12,9,660,7.3,1,0.14,2020-2021,Bundesliga
László Bénes,M'Gladbach,7,1,150,1.7,0,0.00,2020-2021,Bundesliga
,,,,,,,,2020-2021,Bundesliga
Ramy Bensebaini,M'Gladbach,25,20,"1,811",20.1,4,0.20,2020-2021,Bundesliga
Nabil Bentaleb,Schalke 04,9,6,548,6.1,0,0.00,2020-2021,Bundesliga
Jordan Beyer,M'Gladbach,4,2,188,2.1,0,0.00,2020-2021,Bundesliga
Bartosz Bialek,Wolfsburg,19,1,270,3.0,2,0.67,2020-2021,Bundesliga
Ermin Bičakčić,Hoffenheim,2,2,128,1.4,1,0.70,2020-2021,Bundesliga
Leonardo Bittencourt,Werder Bremen,27,19,"1,514",16.8,4,0.24,2020-2021,Bundesliga
Jérôme Boateng,Bayern Munich,29,29,"2,368",26.3,1,0.04,2020-2021,Bundesliga
Jean-Paul Boëtius,Mainz 05,31,23,"2,065",22.9,2,0.09,2020-2021,Bundesliga
Melayro Bogarde,Hoffenheim,9,2,277,3.1,0,0.00,2020-2021,Bundesliga
Elias Bördner,Eint Frankfurt,1,1,90,1.0,0,0.00,2020-2021,Bundesliga
Dennis Borkowski,RB Leipzig,2,0,11,0.1,0,0.00,2020-2021,Bundesliga
Sebastiaan Bornauw,Köln,24,23,"2,083",23.1,1,0.04,2020-2021,Bundesliga
Nassim Boujellab,Schalke 04,12,6,605,6.7,1,0.15,2020-2021,Bundesliga
Dedryck Boyata,Hertha BSC,19,17,"1,545",17.2,1,0.06,2020-2021,Bundesliga
Can Bozdogan,Schalke 04,14,5,651,7.2,0,0.00,2020-2021,Bundesliga
Julian Brandt,Dortmund,31,17,"1,495",16.6,3,0.18,2020-2021,Bundesliga
Fabian Bredlow,Stuttgart,1,1,90,1.0,0,0.00,2020-2021,Bundesliga
Josip Brekalo,Wolfsburg,29,22,"1,814",20.2,7,0.35,2020-2021,Bundesliga
Joshua Brenet,Hoffenheim,1,0,1,0.0,0,0.00,2020-2021,Bundesliga
John Brooks,Wolfsburg,32,31,"2,774",30.8,2,0.06,2020-2021,Bundesliga
Daniel Brosinski,Mainz 05,21,16,"1,430",15.9,2,0.13,2020-2021,Bundesliga
Cédric Brunner,Arminia,31,30,"2,655",29.5,0,0.00,2020-2021,Bundesliga
Jacob Bruun Larsen,Hoffenheim,2,1,89,1.0,0,0.00,2020-2021,Bundesliga
Marius Bülter,Union Berlin,26,8,977,10.9,1,0.09,2020-2021,Bundesliga
Jonathan Burkardt,Mainz 05,29,16,"1,373",15.3,2,0.13,2020-2021,Bundesliga
,,,,,,,,2020-2021,Bundesliga
Nishan Burkart,Freiburg,1,0,15,0.2,0,0.00,2020-2021,Bundesliga
Roman Bürki,Dortmund,19,18,"1,665",18.5,0,0.00,2020-2021,Bundesliga
Kerim Calhanoglu,Schalke 04,4,4,296,3.3,0,0.00,2020-2021,Bundesliga
Daniel Caligiuri,Augsburg,33,31,"2,665",29.6,6,0.20,2020-2021,Bundesliga
Emre Can,Dortmund,28,23,"2,133",23.7,1,0.04,2020-2021,Bundesliga
Koen Casteels,Wolfsburg,32,32,"2,880",32.0,0,0.00,2020-2021,Bundesliga
Gonzalo Castro,Stuttgart,26,23,"1,729",19.2,4,0.21,2020-2021,Bundesliga
Sava Cestic,Köln,11,11,899,10.0,0,0.00,2020-2021,Bundesliga
Timothy Chandler,Eint Frankfurt,15,3,432,4.8,1,0.21,2020-2021,Bundesliga
Kwon Chang-hoon,Freiburg,12,1,216,2.4,0,0.00,2020-2021,Bundesliga
Tahith Chong,Werder Bremen,13,4,386,4.3,0,0.00,2020-2021,Bundesliga
Darko Churlinov,Stuttgart,14,0,216,2.4,0,0.00,2020-2021,Bundesliga
Tim Civeja,Augsburg,3,0,34,0.4,0,0.00,2020-2021,Bundesliga
Kingsley Coman,Bayern Munich,29,23,"1,752",19.5,5,0.26,2020-2021,Bundesliga
Jhon Córdoba,Hertha BSC,21,17,"1,537",17.1,7,0.41,2020-2021,Bundesliga
Sergio Córdova,Arminia,23,13,"1,090",12.1,2,0.17,2020-2021,Bundesliga
Danny da Costa,Mainz 05,16,15,"1,208",13.4,0,0.00,2020-2021,Bundesliga
Danny da Costa,Eint Frankfurt,6,1,110,1.2,0,0.00,2020-2021,Bundesliga
Douglas Costa,Bayern Munich,11,3,320,3.6,1,0.28,2020-2021,Bundesliga
Tanguy Coulibaly,Stuttgart,31,17,"1,506",16.7,2,0.12,2020-2021,Bundesliga
Mickaël Cuisance,Bayern Munich,1,0,18,0.2,0,0.00,2020-2021,Bundesliga
Matheus Cunha,Hertha BSC,27,25,"2,149",23.9,7,0.29,2020-2021,Bundesliga
Rafael Czichos,Köln,28,26,"2,259",25.1,1,0.04,2020-2021,Bundesliga
Moanes Dabbur,Hoffenheim,22,11,999,11.1,4,0.36,2020-2021,Bundesliga
Finn Dahmen,Mainz 05,3,3,270,3.0,0,0.00,2020-2021,Bundesliga
,,,,,,,,2020-2021,Bundesliga
Mahmoud Dahoud,Dortmund,21,15,"1,258",14.0,1,0.07,2020-2021,Bundesliga
Leon Dajaku,Union Berlin,2,0,37,0.4,0,0.00,2020-2021,Bundesliga
Tiago Dantas,Bayern Munich,2,1,69,0.8,0,0.00,2020-2021,Bundesliga
Márton Dárdai,Hertha BSC,12,9,821,9.1,0,0.00,2020-2021,Bundesliga
Vladimír Darida,Hertha BSC,27,24,"1,903",21.1,1,0.05,2020-2021,Bundesliga
Alphonso Davies,Bayern Munich,23,22,"1,763",19.6,1,0.05,2020-2021,Bundesliga
Thomas Delaney,Dortmund,20,14,"1,286",14.3,1,0.07,2020-2021,Bundesliga
Kerem Demirbay,Leverkusen,29,20,"1,744",19.4,4,0.21,2020-2021,Bundesliga
Ermedin Demirović,Freiburg,30,19,"1,498",16.6,5,0.30,2020-2021,Bundesliga
Emmanuel Dennis,Köln,9,6,474,5.3,0,0.00,2020-2021,Bundesliga
Mike van der Hoorn,Arminia,22,15,"1,356",15.1,0,0.00,2020-2021,Bundesliga
