Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Brown Ideye,Málaga,13,8,733,8.1,1,0.12,2017-2018,La Liga
Asier Illarramendi,Real Sociedad,36,35,"3,163",35.1,7,0.20,2017-2018,La Liga
Andrés Iniesta,Barcelona,30,25,"1,824",20.3,1,0.05,2017-2018,La Liga
Takashi Inui,Eibar,34,31,"2,631",29.2,5,0.17,2017-2018,La Liga
Gorka Iraizoz,Girona,9,8,765,8.5,0,0.00,2017-2018,La Liga
Carlos Isaac,Atlético Madrid,1,1,63,0.7,0,0.00,2017-2018,La Liga
Isco,Real Madrid,30,21,"1,774",19.7,7,0.36,2017-2018,La Liga
Manuel Iturra,Málaga,20,18,"1,583",17.6,0,0.00,2017-2018,La Liga
Ander Iturraspe,Athletic Club,30,20,"1,904",21.2,0,0.00,2017-2018,La Liga
Ivi,Levante,29,17,"1,762",19.6,4,0.20,2017-2018,La Liga
Adnan Januzaj,Real Sociedad,28,18,"1,573",17.5,3,0.17,2017-2018,La Liga
,,,,,,,,2017-2018,La Liga
Jason,Levante,27,22,"1,786",19.8,1,0.05,2017-2018,La Liga
Álvaro Jiménez,Getafe,13,5,529,5.9,1,0.17,2017-2018,La Liga
Joaquín,Betis,35,29,"2,479",27.5,4,0.15,2017-2018,La Liga
Jony,Málaga,5,1,217,2.4,0,0.00,2017-2018,La Liga
Joan Jordán,Eibar,35,25,"2,427",27.0,6,0.22,2017-2018,La Liga
Willian José,Real Sociedad,34,32,"2,770",30.8,15,0.49,2017-2018,La Liga
Jozabed,Celta Vigo,24,18,"1,473",16.4,0,0.00,2017-2018,La Liga
Juanfran,La Coruña,35,34,"3,057",34.0,0,0.00,2017-2018,La Liga
Juanfran,Atlético Madrid,17,15,"1,307",14.5,0,0.00,2017-2018,La Liga
Juankar,Málaga,10,9,784,8.7,0,0.00,2017-2018,La Liga
Juanmi,Real Sociedad,30,18,"1,489",16.5,8,0.48,2017-2018,La Liga
