"ID","City","Club","Stadium","Cap","Country"
166,"Paris","Paris Saint-Germain","Parc des Princes","48,527","France"
167,"Reims","Stade de Reims","Stade Auguste Delaune","21,684","France"
168,"Rennes","Stade Rennais FC","Roazhon Park","29,778","France"
169,"Saint-Denis","--","Stade de France","80,000","France"
170,"Saint-Etienne","AS Saint-Etienne","Stade Geoffroy Guichard","41,500","France"
171,"Strasbourg","RC Strasbourg Alsace","Stade de la Meinau","27,500","France"
172,"Toulouse","Toulouse FC","Stadium de Toulouse","35,472","France"
173,"Troyes","ES Troyes AC","Stade de l'Aube","20,400","France"
174,"Valenciennes","Valenciennes FC","Stade du Hainaut","24,926","France"
175,"Aachen","Alemannia Aachen","Tivoli","32,960","Germany"
176,"Aue","Erzgebirge Aue","Erzgebirgsstadion","16,485","Germany"
177,"Augsburg","FC Augsburg","WWK Arena","30,660","Germany"
178,"Berlin","FC Union Berlin","Stadion An der Alten Försterei","22,012","Germany"
179,"Berlin","Hertha BSC","Olympiastadion","74,649","Germany"
180,"Bielefeld","Arminia Bielefeld","SchucoArena","26,515","Germany"
181,"Bochum","VFL Bochum","Vonovia Ruhrstadion","29,299","Germany"
182,"Bremen","Werder Bremen","Weserstadion","42,100","Germany"
183,"Brunswick","Eintracht Braunschweig","Eintracht-Stadion","23,325","Germany"
184,"Cologne","1. FC Koln","RheinEnergieStadion","50,000","Germany"
185,"Cottbus","Energie Cottbus","Stadion der Freundschaft","22,528","Germany"
186,"Darmstadt","SV Darmstadt 98","Stadion am Bollenfalltor","17,400","Germany"
187,"Dortmund","Borussia Dortmund","Signal Iduna Park","81,359","Germany"
188,"Dresden","Dynamo Dresden","Rudolf-Harbig-Stadion","32,249","Germany"
189,"Duisburg","MSV Duisburg","Schauinsland-Reisen-Stadion","31,500","Germany"
190,"Dusseldorf","Fortuna Dusseldorf","Merkur Spiel Arena","54,600","Germany"
191,"Essen","Rot-Weiss Essen","Stadion Essen","20,650","Germany"
192,"Frankfurt","Eintracht Frankfurt","Deutsche Bank Park","51,500","Germany"
193,"Freiburg","SC Freiburg","Schwarzwald-Stadion","24,000","Germany"
194,"Furth","Greuther Furth","Sportpark Ronhof","18,000","Germany"
195,"Gelsenkirchen","FC Schalke 04","VELTINS-Arena","61,673","Germany"
196,"Hamburg","Hamburger SV","Volksparkstadion","57,000","Germany"
197,"Hamburg","St. Pauli","Millerntor-Stadion","29,546","Germany"
198,"Hanover","Hannover 96","HDI Arena","49,000","Germany"
199,"Ingolstadt","FC Ingolstadt 04","Audi Sportpark","15,800","Germany"
200,"Kaiserslautern","1. FC Kaiserslautern","Fritz-Walter-Stadion","49,780","Germany"
201,"Kiel","Holstein Kiel","Holstein-Stadion","13,400","Germany"
202,"Leipzig","RB Leipzig","Red Bull Arena","42,959","Germany"
203,"Leverkusen","Bayer 04 Leverkusen","BayArena","30,000","Germany"
204,"Magdeburg","1. FC Magdeburg","MDCC-Arena","25,500","Germany"
205,"Mainz","1. FSV Mainz 05","MEWA Arena","33,305","Germany"
206,"Mainz","1. FSV Mainz 05 II","Bruchwegstadion","18,000","Germany"
207,"Monchengladbach","Borussia Monchengladbach","Borussia-Park","54,010","Germany"
208,"Munich","FC Bayern","Allianz Arena","75,000","Germany"
209,"Munich","TSV 1860 Munchen","Grunwalder Stadion","15,000","Germany"
210,"Munich","--","Olympiastadion Munich","69,250","Germany"
211,"Nuremberg","1. FC Nurnberg","Max-Morlock-Stadion","50,000","Germany"
212,"Paderborn","SC Paderborn 07","Benteler-Arena","15,000","Germany"
213,"Regensburg","Jahn Regensburg","Jahnstadion Regensburg","15,115","Germany"
214,"Sinsheim","1899 Hoffenheim","PreZero Arena","30,150","Germany"
215,"Stuttgart","VFB Stuttgart","Mercedes-Benz Arena","60,441","Germany"
216,"Wiesbaden","SV Wehen Wiesbaden","BRITA-Arena","12,556","Germany"
217,"Wolfsburg","VFL Wolfsburg","Volkswagen Arena","30,000","Germany"
218,"Bari","Bari","Stadio San Nicola","58,270","Italy"
219,"Benevento","Benevento Calcio","Stadio Ciro Vigorito","12,847","Italy"
220,"Bergamo","Atalanta","Stadio Atleti Azzurri d'Italia","26,562","Italy"
221,"Bologna","Bologna","Stadio Renato Dall'Ara","38,279","Italy"
222,"Brescia","Brescia","Stadio Mario Rigamonti","16,308","Italy"
223,"Cagliari","Cagliari","Stadio Sant'Elia","23,486","Italy"
224,"Catania","Catania","Stadio Angelo Massimio","20,016","Italy"
225,"Como","Como","Stadio G. Sinigaglia","8,028","Italy"
226,"Cremona","Cremonese","Stadio Giovanni Zini","16,003","Italy"
227,"Crotone","Crotone","Stadio Ezio Scida","9,631","Italy"
228,"Empoli","Empoli","Stadio Carlo Castellani","20,000","Italy"
229,"Ferrara","S.P.A.L.","Stadio Paolo Mazza","16,134","Italy"
230,"Florence","Fiorentina","Stadio Artemio Franchi","43,147","Italy"
231,"Frosinone","Frosinone","Stadio Benito Stirpe","16,227","Italy"
232,"Genova","Genoa",,,"Italy"
233,"Sampdoria","Stadio Luigi Ferraris",,"36,599","Italy"
234,"La Spezia","Spezia","Stadio Alberto Picco","10,336","Italy"
235,"Lecce","Lecce","Stadio Via Del Mare","31,533","Italy"
236,"Livorno","Livorno","Stadio Armando Picchi","19,234","Italy"
237,"Milan","Inter",,,"Italy"
238,"Milan","San Siro",,"80,018","Italy"
239,"Modena","Modena","Stadio Alberto Braglia","21,151","Italy"
240,"Monza","Monza","Stadio Brianteo","7,499","Italy"
241,"Naples","Napoli","Stadio San Paolo","60,240","Italy"
242,"Novara","Novara","Stadio Silvio Piola","17,875","Italy"
243,"Padua","Padova","Stadio Euganeo","18,060","Italy"
244,"Palermo","Palermo","Stadio Renzo Barbera","36,349","Italy"
245,"Parma","Parma","Stadio Ennio Tardini","27,906","Italy"
246,"Pescara","Pescara","Stadio Adriatico","20,476","Italy"
247,"Piacenza","Piacenza","Stadio Leonardo Garilli","17,821","Italy"
248,"Reggio Emilia","Reggiana",,,"Italy"
