Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Dominic Calvert-Lewin,Everton,32,18,"1,882",20.9,4,0.19,2017-2018,EPL
Geoff Cameron,Stoke City,20,17,"1,525",16.9,0,0.00,2017-2018,EPL
,,,,,,,,2017-2018,EPL
Tyrese Campbell,Stoke City,4,0,79,0.9,0,0.00,2017-2018,EPL
Emre Can,Liverpool,26,24,"2,091",23.2,3,0.13,2017-2018,EPL
Étienne Capoue,Watford,23,18,"1,542",17.1,1,0.06,2017-2018,EPL
Michael Carrick,Manchester Utd,2,1,109,1.2,0,0.00,2017-2018,EPL
André Carrillo,Watford,28,16,"1,540",17.1,1,0.06,2017-2018,EPL
Guido Carrillo,Southampton,7,5,450,5.0,0,0.00,2017-2018,EPL
Andy Carroll,West Ham,16,7,751,8.3,3,0.36,2017-2018,EPL
Tom Carroll,Swansea City,37,28,"2,570",28.6,0,0.00,2017-2018,EPL
Craig Cathcart,Watford,7,5,523,5.8,0,0.00,2017-2018,EPL
Petr Čech,Arsenal,34,34,"3,039",33.8,0,0.00,2017-2018,EPL
Nacer Chadli,West Brom,5,2,260,2.9,1,0.35,2017-2018,EPL
Nathaniel Chalobah,Watford,6,5,447,5.0,0,0.00,2017-2018,EPL
Calum Chambers,Arsenal,12,10,866,9.6,0,0.00,2017-2018,EPL
Ben Chilwell,Leicester City,24,20,"1,853",20.6,0,0.00,2017-2018,EPL
Hamza Choudhury,Leicester City,8,4,378,4.2,0,0.00,2017-2018,EPL
Andreas Christensen,Chelsea,27,23,"2,086",23.2,0,0.00,2017-2018,EPL
Lee Chung-yong,Crystal Palace,7,1,135,1.5,0,0.00,2017-2018,EPL
Ciaran Clark,Newcastle Utd,20,19,"1,746",19.4,2,0.10,2017-2018,EPL
Tom Cleverley,Watford,23,22,"1,902",21.1,1,0.05,2017-2018,EPL
Sam Clucas,Swansea City,29,23,"2,044",22.7,3,0.13,2017-2018,EPL
Nathaniel Clyne,Liverpool,3,2,174,1.9,0,0.00,2017-2018,EPL
Séamus Coleman,Everton,12,12,"1,035",11.5,0,0.00,2017-2018,EPL
James Collins,West Ham,13,12,"1,050",11.7,1,0.09,2017-2018,EPL
Lewis Cook,Bournemouth,29,25,"2,237",24.9,0,0.00,2017-2018,EPL
Steve Cook,Bournemouth,34,31,"2,767",30.7,2,0.07,2017-2018,EPL
,,,,,,,,2017-2018,EPL
Francis Coquelin,Arsenal,7,1,169,1.9,0,0.00,2017-2018,EPL
Jack Cork,Burnley,38,38,"3,420",38.0,2,0.05,2017-2018,EPL
Thibaut Courtois,Chelsea,35,35,"3,150",35.0,0,0.00,2017-2018,EPL
Philippe Coutinho,Liverpool,14,13,"1,109",12.3,7,0.57,2017-2018,EPL
Martin Cranie,Huddersfield,3,2,180,2.0,0,0.00,2017-2018,EPL
Aaron Cresswell,West Ham,36,35,"3,069",34.1,1,0.03,2017-2018,EPL
Peter Crouch,Stoke City,31,14,"1,567",17.4,5,0.29,2017-2018,EPL
Josh Cullen,West Ham,2,0,8,0.1,0,0.00,2017-2018,EPL
Charlie Daniels,Bournemouth,35,34,"3,002",33.4,1,0.03,2017-2018,EPL
