Player,Squad,MP,Starts,Min,90s,Goals,Seasons,League
Jérôme Boateng,de Bayern Munich,9,8,677,7.5,0,2017-2018,UEFA
Salvatore Bocchetti,ru Spartak Moscow,3,3,270,3.0,0,2017-2018,UEFA
Frank Boeckx,be Anderlecht,3,3,270,3.0,0,2017-2018,UEFA
Jean-Paul Boëtius,nl Feyenoord,6,6,519,5.8,0,2017-2018,UEFA
Damjan Bohar,si NK Maribor,6,6,484,5.4,1,2017-2018,UEFA
Gabriel Boschilia,fr Monaco,1,0,11,0.1,0,2017-2018,UEFA
Alberto Botía,gr Olympiacos,3,3,270,3.0,0,2017-2018,UEFA
Eric Botteghin,nl Feyenoord,1,1,90,1.0,0,2017-2018,UEFA
Dedryck Boyata,sct Celtic,5,5,450,5.0,0,2017-2018,UEFA
Yacine Brahimi,pt Porto,7,7,568,6.3,1,2017-2018,UEFA
Claudio Bravo,eng Manchester City,1,1,90,1.0,0,2017-2018,UEFA
Scott Brown,sct Celtic,6,6,520,5.8,0,2017-2018,UEFA
Bruma,de RB Leipzig,5,3,274,3.0,0,2017-2018,UEFA
Massimo Bruno,be Anderlecht,4,0,48,0.5,0,2017-2018,UEFA
Kevin Bua,ch Basel,5,1,102,1.1,0,2017-2018,UEFA
Gianluigi Buffon,it Juventus,9,9,810,9.0,0,2017-2018,UEFA
Roman Bürki,de Dortmund,6,6,540,6.0,0,2017-2018,UEFA
Sergio Busquets,es Barcelona,10,9,768,8.5,0,2017-2018,UEFA
Bohdan Butko,ua Shakhtar,7,7,630,7.0,0,2017-2018,UEFA
Gary Cahill,eng Chelsea,6,5,448,5.0,0,2017-2018,UEFA
Fabrizio Caligara,it Juventus,1,0,3,0.0,0,2017-2018,UEFA
José Callejón,it Napoli,6,6,507,5.6,1,2017-2018,UEFA
Igor de Camargo,cy APOEL FC,5,3,234,2.6,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Emre Can,eng Liverpool,8,6,533,5.9,1,2017-2018,UEFA
Mehdi Carcela,gr Olympiacos,4,4,268,3.0,0,2017-2018,UEFA
Carlão,cy APOEL FC,5,5,450,5.0,0,2017-2018,UEFA
Yannick Carrasco,es Atlético Madrid,5,3,269,3.0,0,2017-2018,UEFA
Guido Carrillo,fr Monaco,5,1,134,1.5,0,2017-2018,UEFA
Dani Carvajal,es Real Madrid,8,8,644,7.2,0,2017-2018,UEFA
João Carvalho,pt Benfica,1,1,90,1.0,0,2017-2018,UEFA
William Carvalho,pt Sporting CP,5,5,450,5.0,0,2017-2018,UEFA
Casemiro,es Real Madrid,12,11,945,10.5,1,2017-2018,UEFA
Kiko Casilla,es Real Madrid,2,2,180,2.0,0,2017-2018,UEFA
Iker Casillas,pt Porto,3,3,270,3.0,0,2017-2018,UEFA
Gonzalo Castro,de Dortmund,3,1,132,1.5,0,2017-2018,UEFA
Edinson Cavani,fr Paris S-G,8,8,680,7.6,7,2017-2018,UEFA
Dani Ceballos,es Real Madrid,4,0,82,0.9,0,2017-2018,UEFA
Franco Cervi,pt Benfica,3,1,97,1.1,0,2017-2018,UEFA
Bruno César,pt Sporting CP,5,3,253,2.8,2,2017-2018,UEFA
Júlio César,pt Benfica,1,1,90,1.0,0,2017-2018,UEFA
Fyodor Chalov,ru CSKA Moscow,3,2,145,1.6,0,2017-2018,UEFA
Giorgio Chiellini,it Juventus,7,7,630,7.0,0,2017-2018,UEFA
Alexandru Chipciu,be Anderlecht,2,2,180,2.0,0,2017-2018,UEFA
Vlad Chiriche?,it Napoli,1,1,90,1.0,0,2017-2018,UEFA
Andreas Christensen,eng Chelsea,6,5,454,5.0,0,2017-2018,UEFA
Jasper Cillessen,es Barcelona,1,1,90,1.0,0,2017-2018,UEFA
Orkan Ç?nar,tr Be?ikta?,1,0,22,0.2,0,2017-2018,UEFA
Nathaniel Clyne,eng Liverpool,2,0,9,0.1,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Sebastián Coates,pt Sporting CP,5,5,450,5.0,0,2017-2018,UEFA
Fábio Coentrão,pt Sporting CP,4,3,267,3.0,0,2017-2018,UEFA
Kingsley Coman,de Bayern Munich,6,4,388,4.3,2,2017-2018,UEFA
Marvin Compper,de RB Leipzig,1,0,19,0.2,0,2017-2018,UEFA
Sébastien Corchia,es Sevilla,3,1,104,1.2,0,2017-2018,UEFA
Jesús Corona,pt Porto,8,3,318,3.5,0,2017-2018,UEFA
Ángel Correa,es Atlético Madrid,6,2,254,2.8,0,2017-2018,UEFA
Joaquín Correa,es Sevilla,8,7,626,7.0,1,2017-2018,UEFA
Douglas Costa,it Juventus,10,8,719,8.0,0,2017-2018,UEFA
Thibaut Courtois,eng Chelsea,8,8,720,8.0,0,2017-2018,UEFA
Philippe Coutinho,eng Liverpool,5,4,347,3.9,5,2017-2018,UEFA
Juan Cuadrado,it Juventus,6,5,410,4.6,1,2017-2018,UEFA
Mahmoud Dahoud,de Dortmund,3,2,192,2.1,0,2017-2018,UEFA
Diogo Dalot,pt Porto,1,1,90,1.0,0,2017-2018,UEFA
