Player,Squad,MP,Starts,Min,90s,Goals,Seasons,League
Danilo D'Ambrosio,it Inter,4,4,360,4.0,0,2018-2019,UEFA
Colin Dagba,fr Paris S-G,1,0,10,0.1,0,2018-2019,UEFA
Mahmoud Dahoud,de Dortmund,5,3,318,3.5,0,2018-2019,UEFA
Diogo Dalot,eng Manchester Utd,4,2,244,2.7,0,2018-2019,UEFA
Oleh Danchenko,ua Shakhtar,1,1,89,1.0,0,2018-2019,UEFA
Danilo,eng Manchester City,2,1,120,1.3,0,2018-2019,UEFA
Arnaut Danjuma,be Club Brugge,2,2,165,1.8,1,2018-2019,UEFA
Ben Davies,eng Tottenham,9,6,570,6.3,0,2018-2019,UEFA
Kevin De Bruyne,eng Manchester City,4,3,246,2.7,0,2018-2019,UEFA
Daniele De Rossi,it Roma,4,4,304,3.4,1,2018-2019,UEFA
Mattia De Sciglio,it Juventus,4,4,306,3.4,0,2018-2019,UEFA
Saulo Decarli,be Club Brugge,1,0,1,0.0,0,2018-2019,UEFA
Miloš Degenek,rs Red Star,6,6,540,6.0,0,2018-2019,UEFA
Thomas Delaney,de Dortmund,6,4,296,3.3,0,2018-2019,UEFA
Fabian Delph,eng Manchester City,6,2,261,2.9,0,2018-2019,UEFA
Mousa Dembélé,eng Tottenham,2,2,163,1.8,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Moussa Dembélé,fr Lyon,6,3,298,3.3,1,2018-2019,UEFA
Ousmane Dembélé,es Barcelona,8,5,414,4.6,3,2018-2019,UEFA
Kerem Demirbay,de Hoffenheim,5,4,369,4.1,0,2018-2019,UEFA
Jason Denayer,fr Lyon,8,8,720,8.0,0,2018-2019,UEFA
Igor Denisov,ru Loko Moscow,6,5,469,5.2,0,2018-2019,UEFA
Emmanuel Dennis,be Club Brugge,3,2,179,2.0,0,2018-2019,UEFA
Stefano Denswil,be Club Brugge,6,6,540,6.0,0,2018-2019,UEFA
Dentinho,ua Shakhtar,2,0,13,0.1,0,2018-2019,UEFA
Eren Derdiyok,tr Galatasaray,4,4,330,3.7,2,2018-2019,UEFA
Ángel Di María,fr Paris S-G,8,8,656,7.3,2,2018-2019,UEFA
Franco Di Santo,de Schalke 04,1,1,90,1.0,0,2018-2019,UEFA
Moussa Diaby,fr Paris S-G,1,0,8,0.1,0,2018-2019,UEFA
Mouctar Diakhaby,es Valencia,3,3,270,3.0,0,2018-2019,UEFA
Abdou Diallo,de Dortmund,7,7,619,6.9,0,2018-2019,UEFA
Rúben Dias,pt Benfica,5,5,404,4.5,0,2018-2019,UEFA
Krépin Diatta,be Club Brugge,2,1,6,0.1,0,2018-2019,UEFA
Eric Dier,eng Tottenham,6,2,271,3.0,0,2018-2019,UEFA
Sofiane Diop,fr Monaco,4,2,269,3.0,0,2018-2019,UEFA
Kasper Dolberg,nl Ajax,9,3,301,3.3,0,2018-2019,UEFA
Jaume Doménech,es Valencia,1,1,90,1.0,0,2018-2019,UEFA
Ryan Donk,tr Galatasaray,6,6,472,5.2,0,2018-2019,UEFA
Julian Draxler,fr Paris S-G,7,3,287,3.2,0,2018-2019,UEFA
Leo Dubois,fr Lyon,5,3,287,3.2,1,2018-2019,UEFA
Denzel Dumfries,nl PSV Eindhoven,6,6,540,6.0,0,2018-2019,UEFA
Paulo Dybala,it Juventus,9,6,518,5.8,5,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Alan Dzagoev,ru CSKA Moscow,3,2,171,1.9,0,2018-2019,UEFA
Edin Džeko,it Roma,6,6,570,6.3,5,2018-2019,UEFA
Lorenzo Ebecilio,rs Red Star,4,1,115,1.3,0,2018-2019,UEFA
Éder,ru Loko Moscow,6,4,310,3.4,0,2018-2019,UEFA
Ederson,eng Manchester City,10,10,900,10.0,0,2018-2019,UEFA
Carel Eiting,nl Ajax,1,1,90,1.0,0,2018-2019,UEFA
Jurgen Ekkelenkamp,nl Ajax,1,0,16,0.2,0,2018-2019,UEFA
Breel Embolo,de Schalke 04,5,5,381,4.2,1,2018-2019,UEFA
Christian Eriksen,eng Tottenham,12,11,"1,003",11.1,2,2018-2019,UEFA
Fabinho,eng Liverpool,11,7,730,8.1,0,2018-2019,UEFA
Ralf Fährmann,de Schalke 04,6,6,540,6.0,0,2018-2019,UEFA
Radamel Falcao,fr Monaco,5,4,339,3.8,0,2018-2019,UEFA
Jefferson Farfán,ru Loko Moscow,4,3,303,3.4,1,2018-2019,UEFA
Christian Fassnacht,ch Young Boys,6,5,381,4.2,0,2018-2019,UEFA
Federico Fazio,it Roma,6,6,540,6.0,0,2018-2019,UEFA
Sofiane Feghouli,tr Galatasaray,3,1,138,1.5,1,2018-2019,UEFA
Ljubomir Fejsa,pt Benfica,5,5,435,4.8,0,2018-2019,UEFA
Nabil Fekir,fr Lyon,6,6,502,5.6,3,2018-2019,UEFA
Felipe,pt Porto,10,10,930,10.3,1,2018-2019,UEFA
João Félix,pt Benfica,1,1,76,0.8,0,2018-2019,UEFA
Marouane Fellaini,eng Manchester Utd,5,3,304,3.4,1,2018-2019,UEFA
Gedson Fernandes,pt Benfica,6,5,463,5.1,1,2018-2019,UEFA
Manuel Fernandes,ru Loko Moscow,4,4,290,3.2,0,2018-2019,UEFA
Mário Fernandes,ru CSKA Moscow,6,6,461,5.1,0,2018-2019,UEFA
Fernandinho,eng Manchester City,8,7,643,7.1,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Fernando,pt Porto,4,1,145,1.6,0,2018-2019,UEFA
Fernando,ua Shakhtar,2,1,84,0.9,0,2018-2019,UEFA
Fernando,tr Galatasaray,4,4,323,3.6,0,2018-2019,UEFA
Jordan Ferri,fr Lyon,1,0,9,0.1,0,2018-2019,UEFA
Roberto Firmino,eng Liverpool,11,8,700,7.8,4,2018-2019,UEFA
Alessandro Florenzi,it Roma,8,6,619,6.9,0,2018-2019,UEFA
Phil Foden,eng Manchester City,4,1,122,1.4,1,2018-2019,UEFA
Hernâni Fortes,pt Porto,6,1,127,1.4,0,2018-2019,UEFA
Juan Foyth,eng Tottenham,2,1,101,1.1,0,2018-2019,UEFA
Fred,eng Manchester Utd,6,6,458,5.1,0,2018-2019,UEFA
Gabriel,pt Benfica,4,2,221,2.5,0,2018-2019,UEFA
Cody Gakpo,nl PSV Eindhoven,1,0,8,0.1,0,2018-2019,UEFA
Konstantinos Galanopoulos,gr AEK Athens,6,6,486,5.4,0,2018-2019,UEFA
Rodrigo Galo Brito,gr AEK Athens,5,1,118,1.3,0,2018-2019,UEFA
Kévin Gameiro,es Valencia,5,0,132,1.5,0,2018-2019,UEFA
Ezequiel Garay,es Valencia,3,2,220,2.4,0,2018-2019,UEFA
Ulisses Garcia,ch Young Boys,2,1,135,1.5,0,2018-2019,UEFA
Paulo Gazzaniga,eng Tottenham,1,1,90,1.0,0,2018-2019,UEFA
David de Gea,eng Manchester Utd,9,9,810,9.0,0,2018-2019,UEFA
Dennis Geiger,de Hoffenheim,1,1,62,0.7,0,2018-2019,UEFA
Faouzi Ghoulam,it Napoli,1,0,21,0.2,0,2018-2019,UEFA
Giorgos Giakoumakis,gr AEK Athens,3,0,51,0.6,0,2018-2019,UEFA
Giannis Gianniotas,gr AEK Athens,2,0,51,0.6,0,2018-2019,UEFA
Kamil Glik,fr Monaco,5,5,435,4.8,0,2018-2019,UEFA
Serge Gnabry,de Bayern Munich,7,5,445,4.9,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Marko Gobelji?,rs Red Star,4,3,302,3.4,1,2018-2019,UEFA
Diego Godín,es Atlético Madrid,6,6,540,6.0,1,2018-2019,UEFA
Benjamin Goller,de Schalke 04,1,1,58,0.6,0,2018-2019,UEFA
Aleksandr Golovin,fr Monaco,3,3,228,2.5,0,2018-2019,UEFA
Joe Gomez,eng Liverpool,9,5,527,5.9,0,2018-2019,UEFA
Sergio Gómez,de Dortmund,1,0,1,0.0,0,2018-2019,UEFA
Leon Goretzka,de Bayern Munich,6,3,328,3.6,0,2018-2019,UEFA
Mathieu Gorgelin,fr Lyon,1,0,57,0.6,0,2018-2019,UEFA
Mario Götze,de Dortmund,6,5,437,4.9,0,2018-2019,UEFA
Gobe Gouano,fr Monaco,1,0,30,0.3,0,2018-2019,UEFA
Samuel Grandsir,fr Monaco,3,2,187,2.1,1,2018-2019,UEFA
Mason Greenwood,eng Manchester Utd,1,0,4,0.0,0,2018-2019,UEFA
Antoine Griezmann,es Atlético Madrid,8,8,720,8.0,4,2018-2019,UEFA
Vincenzo Grifo,de Hoffenheim,1,0,6,0.1,0,2018-2019,UEFA
Florian Grillitsch,de Hoffenheim,6,5,414,4.6,1,2018-2019,UEFA
Álex Grimaldo,pt Benfica,6,6,540,6.0,2,2018-2019,UEFA
Gonçalo Guedes,es Valencia,4,4,314,3.5,0,2018-2019,UEFA
Raphaël Guerreiro,de Dortmund,6,3,285,3.2,4,2018-2019,UEFA
Sinan Gümü?,tr Galatasaray,3,3,221,2.5,0,2018-2019,UEFA
?lkay Gündo?an,eng Manchester City,8,7,589,6.5,0,2018-2019,UEFA
Erick Gutiérrez,nl PSV Eindhoven,4,1,98,1.1,0,2018-2019,UEFA
Robin Hack,de Hoffenheim,1,0,6,0.1,0,2018-2019,UEFA
Munir El Haddadi,es Barcelona,2,1,65,0.7,0,2018-2019,UEFA
Achraf Hakimi,de Dortmund,5,4,371,4.1,0,2018-2019,UEFA
Marek Hamšík,it Napoli,6,5,456,5.1,1,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Samir Handanovi?,it Inter,6,6,540,6.0,0,2018-2019,UEFA
Amine Harit,de Schalke 04,5,1,142,1.6,0,2018-2019,UEFA
Milan Havel,cz Viktoria Plze?,4,3,223,2.5,0,2018-2019,UEFA
Lukáš Hejda,cz Viktoria Plze?,6,5,452,5.0,1,2018-2019,UEFA
Jordan Henderson,eng Liverpool,11,8,801,8.9,0,2018-2019,UEFA
Jorrit Hendrix,nl PSV Eindhoven,6,6,520,5.8,0,2018-2019,UEFA
Benjamin Henrichs,fr Monaco,4,3,297,3.3,0,2018-2019,UEFA
Lucas Hernández,es Atlético Madrid,5,5,450,5.0,0,2018-2019,UEFA
Ander Herrera,eng Manchester Utd,2,2,168,1.9,0,2018-2019,UEFA
Héctor Herrera,pt Porto,9,9,832,9.2,2,2018-2019,UEFA
Son Heung-min,eng Tottenham,12,11,900,10.0,4,2018-2019,UEFA
Marwin Hitz,de Dortmund,1,1,90,1.0,0,2018-2019,UEFA
Guillaume Hoarau,ch Young Boys,5,5,406,4.5,3,2018-2019,UEFA
Justin Hoogma,de Hoffenheim,1,1,90,1.0,0,2018-2019,UEFA
Tomáš Ho?ava,cz Viktoria Plze?,5,2,216,2.4,0,2018-2019,UEFA
Ethan Horvath,be Club Brugge,3,3,270,3.0,0,2018-2019,UEFA
Benedikt Höwedes,ru Loko Moscow,5,5,450,5.0,0,2018-2019,UEFA
Patrik Hrošovský,cz Viktoria Plze?,6,6,540,6.0,1,2018-2019,UEFA
Aleš Hruška,cz Viktoria Plze?,4,4,360,4.0,0,2018-2019,UEFA
Benjamin Hübner,de Hoffenheim,1,1,90,1.0,0,2018-2019,UEFA
Roman Hubník,cz Viktoria Plze?,6,6,540,6.0,0,2018-2019,UEFA
Niklas Hult,gr AEK Athens,6,6,540,6.0,0,2018-2019,UEFA
Mats Hummels,de Bayern Munich,6,6,539,6.0,1,2018-2019,UEFA
Klaas-Jan Huntelaar,nl Ajax,5,1,99,1.1,0,2018-2019,UEFA
Elseid Hysaj,it Napoli,3,1,150,1.7,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Mauro Icardi,it Inter,6,6,540,6.0,4,2018-2019,UEFA
Brian Idowu,ru Loko Moscow,3,3,270,3.0,0,2018-2019,UEFA
Vladislav Ignatyev,ru Loko Moscow,6,6,518,5.8,1,2018-2019,UEFA
Selçuk ?nan,tr Galatasaray,5,0,105,1.2,1,2018-2019,UEFA
Lorenzo Insigne,it Napoli,6,6,488,5.4,3,2018-2019,UEFA
Isco,es Real Madrid,4,3,251,2.8,1,2018-2019,UEFA
Nicolas Isimat-Mirin,nl PSV Eindhoven,1,0,25,0.3,0,2018-2019,UEFA
Ismaily,ua Shakhtar,6,6,540,6.0,2,2018-2019,UEFA
Jardel,pt Benfica,4,4,360,4.0,0,2018-2019,UEFA
Jemerson,fr Monaco,5,5,450,5.0,0,2018-2019,UEFA
Gabriel Jesus,eng Manchester City,6,4,375,4.2,4,2018-2019,UEFA
Juan Jesus,it Roma,3,2,213,2.4,0,2018-2019,UEFA
Joelinton,de Hoffenheim,5,4,391,4.3,1,2018-2019,UEFA
Jonas,pt Benfica,2,2,112,1.2,1,2018-2019,UEFA
Phil Jones,eng Manchester Utd,3,3,270,3.0,0,2018-2019,UEFA
Frenkie de Jong,nl Ajax,11,11,985,10.9,0,2018-2019,UEFA
Luuk de Jong,nl PSV Eindhoven,6,6,530,5.9,3,2018-2019,UEFA
Jorge,pt Porto,1,0,18,0.2,0,2018-2019,UEFA
Dušan Jovan?i?,rs Red Star,5,2,268,3.0,0,2018-2019,UEFA
Dejan Jovelji?,rs Red Star,2,0,50,0.6,0,2018-2019,UEFA
Stevan Joveti?,fr Monaco,1,1,11,0.1,0,2018-2019,UEFA
Branko Jovi?i?,rs Red Star,4,3,237,2.6,0,2018-2019,UEFA
Juanfran,es Atlético Madrid,5,5,450,5.0,0,2018-2019,UEFA
Vinicius Júnior,es Real Madrid,4,3,233,2.6,0,2018-2019,UEFA
Ozan Kabak,tr Galatasaray,4,4,360,4.0,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Pavel Kade?ábek,de Hoffenheim,6,6,540,6.0,1,2018-2019,UEFA
Shinji Kagawa,de Dortmund,1,0,29,0.3,0,2018-2019,UEFA
Nikola Kalini?,es Atlético Madrid,3,1,111,1.2,0,2018-2019,UEFA
Harry Kane,eng Tottenham,9,9,776,8.6,5,2018-2019,UEFA
Rick Karsdorp,it Roma,2,1,76,0.8,0,2018-2019,UEFA
Olarenwaju Kayode,ua Shakhtar,3,0,44,0.5,0,2018-2019,UEFA
Moise Kean,it Juventus,3,0,69,0.8,0,2018-2019,UEFA
Thilo Kehrer,fr Paris S-G,7,5,488,5.4,0,2018-2019,UEFA
Naby Keïta,eng Liverpool,6,4,243,2.7,1,2018-2019,UEFA
Sami Khedira,it Juventus,4,2,104,1.2,0,2018-2019,UEFA
Davit Khocholava,ua Shakhtar,3,3,225,2.5,0,2018-2019,UEFA
Khetag Khosonov,ru CSKA Moscow,2,0,49,0.5,0,2018-2019,UEFA
Joshua Kimmich,de Bayern Munich,7,7,630,7.0,0,2018-2019,UEFA
Presnel Kimpembe,fr Paris S-G,8,7,648,7.2,1,2018-2019,UEFA
Viktor Klonaridis,gr AEK Athens,5,4,316,3.5,2,2018-2019,UEFA
Justin Kluivert,it Roma,5,3,319,3.5,1,2018-2019,UEFA
Koke,es Atlético Madrid,7,7,561,6.2,2,2018-2019,UEFA
Daniel Kolá?,cz Viktoria Plze?,2,1,90,1.0,0,2018-2019,UEFA
Aleksandar Kolarov,it Roma,8,7,661,7.3,0,2018-2019,UEFA
Vincent Kompany,eng Manchester City,4,2,207,2.3,0,2018-2019,UEFA
Geoffrey Kondogbia,es Valencia,5,5,406,4.5,0,2018-2019,UEFA
Yevhen Konoplyanka,de Schalke 04,6,5,462,5.1,0,2018-2019,UEFA
Jan Kopic,cz Viktoria Plze?,4,3,295,3.3,0,2018-2019,UEFA
Kalidou Koulibaly,it Napoli,6,6,540,6.0,0,2018-2019,UEFA
Viktor Kovalenko,ua Shakhtar,6,4,367,4.1,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Jan Kova?ík,cz Viktoria Plze?,4,4,360,4.0,1,2018-2019,UEFA
Matúš Kozá?ik,cz Viktoria Plze?,2,2,180,2.0,0,2018-2019,UEFA
Andrej Kramari?,de Hoffenheim,6,5,481,5.3,5,2018-2019,UEFA
Michal Krmen?ík,cz Viktoria Plze?,3,3,240,2.7,2,2018-2019,UEFA
Toni Kroos,es Real Madrid,8,7,645,7.2,1,2018-2019,UEFA
Nenad Krsti?i?,rs Red Star,5,5,432,4.8,0,2018-2019,UEFA
Grzegorz Krychowiak,ru Loko Moscow,6,6,540,6.0,0,2018-2019,UEFA
Serhiy Kryvtsov,ua Shakhtar,5,5,450,5.0,0,2018-2019,UEFA
Konstantin Kuchayev,ru CSKA Moscow,2,0,21,0.2,0,2018-2019,UEFA
Ahmed Kutucu,de Schalke 04,1,0,19,0.2,0,2018-2019,UEFA
Solomon Kvirkvelia,ru Loko Moscow,5,5,435,4.8,0,2018-2019,UEFA
Georgii Kyrnats,ru CSKA Moscow,1,0,1,0.0,0,2018-2019,UEFA
Zakaria Labyad,nl Ajax,1,0,5,0.1,0,2018-2019,UEFA
Adam Lallana,eng Liverpool,3,1,105,1.2,0,2018-2019,UEFA
Vassilis Lambropoulos,gr AEK Athens,3,3,270,3.0,0,2018-2019,UEFA
Érik Lamela,eng Tottenham,9,3,335,3.7,1,2018-2019,UEFA
Aymeric Laporte,eng Manchester City,10,10,881,9.8,2,2018-2019,UEFA
Toni Lato,es Valencia,1,1,50,0.6,0,2018-2019,UEFA
Sandro Lauper,ch Young Boys,5,4,405,4.5,0,2018-2019,UEFA
Diogo Leite,pt Porto,1,1,90,1.0,0,2018-2019,UEFA
Cristian Lema,pt Benfica,1,0,46,0.5,0,2018-2019,UEFA
Thomas Lemar,es Atlético Madrid,7,5,409,4.5,0,2018-2019,UEFA
Clément Lenglet,es Barcelona,12,11,"1,001",11.1,0,2018-2019,UEFA
Karlo Letica,be Club Brugge,3,3,270,3.0,0,2018-2019,UEFA
Robert Lewandowski,de Bayern Munich,8,8,712,7.9,8,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Matthijs de Ligt,nl Ajax,11,11,990,11.0,2,2018-2019,UEFA
David Limberský,cz Viktoria Plze?,6,6,495,5.5,0,2018-2019,UEFA
Victor Lindelöf,eng Manchester Utd,7,7,630,7.0,0,2018-2019,UEFA
Jesse Lingard,eng Manchester Utd,6,4,294,3.3,0,2018-2019,UEFA
Martin Linnes,tr Galatasaray,5,5,402,4.5,0,2018-2019,UEFA
Marko Livaja,gr AEK Athens,1,1,66,0.7,0,2018-2019,UEFA
Fernando Llorente,eng Tottenham,9,1,241,2.7,2,2018-2019,UEFA
Marcos Llorente,es Real Madrid,2,2,147,1.6,0,2018-2019,UEFA
Hugo Lloris,eng Tottenham,11,11,978,10.9,0,2018-2019,UEFA
Anthony Lopes,fr Lyon,8,8,663,7.4,0,2018-2019,UEFA
Adrián López,pt Porto,4,1,121,1.3,1,2018-2019,UEFA
Dejan Lovren,eng Liverpool,3,2,181,2.0,0,2018-2019,UEFA
Hirving Lozano,nl PSV Eindhoven,6,6,539,6.0,2,2018-2019,UEFA
Filipe Luís,es Atlético Madrid,5,4,405,4.5,0,2018-2019,UEFA
José Luis Gayà,es Valencia,5,5,450,5.0,0,2018-2019,UEFA
Romelu Lukaku,eng Manchester Utd,9,6,547,6.1,2,2018-2019,UEFA
Mikhail Lysov,ru Loko Moscow,1,0,10,0.1,0,2018-2019,UEFA
Lisandro Magallán,nl Ajax,2,0,10,0.1,0,2018-2019,UEFA
Hörður Magnússon,ru CSKA Moscow,3,3,235,2.6,0,2018-2019,UEFA
Riyad Mahrez,eng Manchester City,6,4,389,4.3,1,2018-2019,UEFA
Maicon,tr Galatasaray,4,3,288,3.2,0,2018-2019,UEFA
Nikola Maksimovi?,it Napoli,5,5,435,4.8,0,2018-2019,UEFA
Malcom,es Barcelona,3,0,42,0.5,1,2018-2019,UEFA
Donyell Malen,nl PSV Eindhoven,6,1,177,2.0,0,2018-2019,UEFA
Mario Mandžuki?,it Juventus,8,7,576,6.4,1,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Sadio Mané,eng Liverpool,13,13,"1,148",12.8,4,2018-2019,UEFA
Kostas Manolas,it Roma,7,7,660,7.3,1,2018-2019,UEFA
Petros Mantalos,gr AEK Athens,6,5,433,4.8,0,2018-2019,UEFA
Fernando Marçal,fr Lyon,3,3,270,3.0,0,2018-2019,UEFA
Iván Marcano,it Roma,2,2,166,1.8,0,2018-2019,UEFA
Marcelo,es Real Madrid,4,4,343,3.8,1,2018-2019,UEFA
Marcelo,fr Lyon,8,8,720,8.0,0,2018-2019,UEFA
Moussa Marega,pt Porto,9,9,840,9.3,6,2018-2019,UEFA
José María Giménez,es Atlético Madrid,5,5,360,4.0,2,2018-2019,UEFA
Mariano,es Real Madrid,5,0,78,0.9,1,2018-2019,UEFA
Mariano,tr Galatasaray,3,2,183,2.0,0,2018-2019,UEFA
Marko Marin,rs Red Star,5,5,414,4.6,1,2018-2019,UEFA
Guilherme Marinato,ru Loko Moscow,6,6,540,6.0,0,2018-2019,UEFA
Marlos,ua Shakhtar,3,3,265,2.9,0,2018-2019,UEFA
Marquinhos,fr Paris S-G,7,7,630,7.0,1,2018-2019,UEFA
Anthony Martial,eng Manchester Utd,8,6,507,5.6,1,2018-2019,UEFA
Javi Martínez,de Bayern Munich,6,6,518,5.8,1,2018-2019,UEFA
Lautaro Martínez,it Inter,3,0,56,0.6,0,2018-2019,UEFA
Gelson Martins,es Atlético Madrid,2,1,88,1.0,0,2018-2019,UEFA
Omar Mascarell,de Schalke 04,3,3,225,2.5,0,2018-2019,UEFA
Han-Noah Massengo,fr Monaco,3,2,181,2.0,0,2018-2019,UEFA
Clinton Mata,be Club Brugge,4,2,209,2.3,0,2018-2019,UEFA
Juan Mata,eng Manchester Utd,6,2,278,3.1,1,2018-2019,UEFA
Nemanja Mati?,eng Manchester Utd,6,6,540,6.0,0,2018-2019,UEFA
Joël Matip,eng Liverpool,8,8,720,8.0,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Blaise Matuidi,it Juventus,9,8,682,7.6,0,2018-2019,UEFA
Mykola Matviyenko,ua Shakhtar,5,5,450,5.0,0,2018-2019,UEFA
Eric Maxim Choupo-Moting,fr Paris S-G,4,0,53,0.6,0,2018-2019,UEFA
Maycon,ua Shakhtar,6,5,451,5.0,1,2018-2019,UEFA
Noussair Mazraoui,nl Ajax,11,10,825,9.2,2,2018-2019,UEFA
Kevin Mbabu,ch Young Boys,5,5,450,5.0,0,2018-2019,UEFA
Kylian Mbappé,fr Paris S-G,8,8,699,7.8,4,2018-2019,UEFA
Jordi Mboula,fr Monaco,1,0,33,0.4,0,2018-2019,UEFA
Weston McKennie,de Schalke 04,6,4,373,4.1,1,2018-2019,UEFA
Scott McTominay,eng Manchester Utd,3,3,270,3.0,0,2018-2019,UEFA
Brandon Mechele,be Club Brugge,5,5,450,5.0,0,2018-2019,UEFA
Arthur Melo,es Barcelona,9,7,562,6.2,0,2018-2019,UEFA
Memphis,fr Lyon,8,7,615,6.8,1,2018-2019,UEFA
Benjamin Mendy,eng Manchester City,2,2,173,1.9,0,2018-2019,UEFA
Ferland Mendy,fr Lyon,8,8,706,7.8,0,2018-2019,UEFA
Hamza Mendyl,de Schalke 04,6,5,366,4.1,0,2018-2019,UEFA
Dries Mertens,it Napoli,6,4,374,4.2,3,2018-2019,UEFA
Lionel Messi,es Barcelona,10,9,838,9.3,12,2018-2019,UEFA
Thomas Meunier,fr Paris S-G,5,4,363,4.0,1,2018-2019,UEFA
Arkadiusz Milik,it Napoli,4,2,188,2.1,0,2018-2019,UEFA
Éder Militão,pt Porto,9,9,822,9.1,2,2018-2019,UEFA
James Milner,eng Liverpool,12,10,899,10.0,2,2018-2019,UEFA
Santi Mina,es Valencia,4,3,221,2.5,2,2018-2019,UEFA
Aleksei Miranchuk,ru Loko Moscow,6,6,513,5.7,0,2018-2019,UEFA
Anton Miranchuk,ru Loko Moscow,6,4,391,4.3,1,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Miranda,it Inter,3,2,189,2.1,0,2018-2019,UEFA
Juan Miranda,es Barcelona,1,1,90,1.0,0,2018-2019,UEFA
Antonio Mirante,it Roma,2,2,180,2.0,0,2018-2019,UEFA
Matej Mitrovi?,be Club Brugge,1,1,90,1.0,0,2018-2019,UEFA
Luka Modri?,es Real Madrid,6,5,466,5.2,0,2018-2019,UEFA
Francisco Montero,es Atlético Madrid,2,1,135,1.5,0,2018-2019,UEFA
Júnior Moraes,ua Shakhtar,6,6,504,5.6,3,2018-2019,UEFA
Wesley Moraes,be Club Brugge,6,6,520,5.8,2,2018-2019,UEFA
Erik Morán,gr AEK Athens,2,1,100,1.1,0,2018-2019,UEFA
Álvaro Morata,es Atlético Madrid,2,1,123,1.4,0,2018-2019,UEFA
Jérémy Morel,fr Lyon,1,1,90,1.0,0,2018-2019,UEFA
Alberto Moreno,eng Liverpool,1,0,9,0.1,0,2018-2019,UEFA
Ubong Moses Ekpai,cz Viktoria Plze?,2,0,35,0.4,0,2018-2019,UEFA
Lucas Moura,eng Tottenham,12,8,724,8.0,5,2018-2019,UEFA
Thomas Müller,de Bayern Munich,6,4,353,3.9,0,2018-2019,UEFA
Jeison Murillo,es Valencia,1,1,90,1.0,0,2018-2019,UEFA
Fernando Muslera,tr Galatasaray,6,6,540,6.0,0,2018-2019,UEFA
Kévin N'Doram,fr Monaco,1,1,90,1.0,0,2018-2019,UEFA
Kirill Nababkin,ru CSKA Moscow,6,6,540,6.0,0,2018-2019,UEFA
Ben Nabouhane,rs Red Star,6,6,511,5.7,1,2018-2019,UEFA
Nacho,es Real Madrid,5,5,449,5.0,0,2018-2019,UEFA
Yuto Nagatomo,tr Galatasaray,5,5,441,4.9,0,2018-2019,UEFA
Radja Nainggolan,it Inter,4,4,278,3.1,1,2018-2019,UEFA
Marvelous Nakamba,be Club Brugge,5,4,395,4.4,0,2018-2019,UEFA
Naldo,de Schalke 04,4,4,360,4.0,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Matija Nastasi?,de Schalke 04,6,6,540,6.0,0,2018-2019,UEFA
Keylor Navas,es Real Madrid,3,3,270,3.0,0,2018-2019,UEFA
Badou Ndiaye,tr Galatasaray,5,5,423,4.7,0,2018-2019,UEFA
Tanguy Ndombele,fr Lyon,8,7,635,7.1,2,2018-2019,UEFA
Reiss Nelson,de Hoffenheim,5,0,117,1.3,0,2018-2019,UEFA
Wellington Nem,ua Shakhtar,2,1,82,0.9,0,2018-2019,UEFA
David Neres,nl Ajax,11,10,848,9.4,2,2018-2019,UEFA
Neto,es Valencia,5,5,450,5.0,0,2018-2019,UEFA
Manuel Neuer,de Bayern Munich,8,8,720,8.0,0,2018-2019,UEFA
Neymar,fr Paris S-G,6,6,531,5.9,5,2018-2019,UEFA
Moumi Ngamaleu,ch Young Boys,6,2,201,2.2,0,2018-2019,UEFA
Cyril Ngonge,be Club Brugge,1,1,68,0.8,0,2018-2019,UEFA
Saúl Ñíguez,es Atlético Madrid,8,7,631,7.0,1,2018-2019,UEFA
Takuma Nishimura,ru CSKA Moscow,2,0,2,0.0,0,2018-2019,UEFA
Rasmus Nissen,nl Ajax,1,0,10,0.1,0,2018-2019,UEFA
Håvard Nordtveit,de Hoffenheim,3,2,185,2.1,1,2018-2019,UEFA
Jean-Pierre Nsame,ch Young Boys,4,1,140,1.6,0,2018-2019,UEFA
Alexander Nübel,de Schalke 04,2,2,180,2.0,0,2018-2019,UEFA
Kasim Nuhu,de Hoffenheim,2,2,140,1.6,0,2018-2019,UEFA
Steven Nzonzi,it Roma,8,7,608,6.8,0,2018-2019,UEFA
Jan Oblak,es Atlético Madrid,8,8,720,8.0,0,2018-2019,UEFA
Ivan Oblyakov,ru CSKA Moscow,6,6,484,5.4,0,2018-2019,UEFA
Bastian Oczipka,de Schalke 04,2,2,180,2.0,0,2018-2019,UEFA
Álvaro Odriozola,es Real Madrid,3,2,228,2.5,0,2018-2019,UEFA
