Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Timothy Castagne,Atalanta,28,21,"2,006",22.3,4,0.18,2018-2019,Serie A
Samu Castillejo,Milan,31,8,"1,023",11.4,4,0.35,2018-2019,Serie A
Lucas Castro,Cagliari,12,10,896,10.0,1,0.10,2018-2019,Serie A
Danilo Cataldi,Lazio,12,4,578,6.4,2,0.31,2018-2019,Serie A
Federico Ceccherini,Fiorentina,15,11,994,11.0,0,0.00,2018-2019,Serie A
Žan Celar,Roma,1,0,5,0.1,0,0.00,2018-2019,Serie A
Luca Ceppitelli,Cagliari,24,24,"2,051",22.8,1,0.04,2018-2019,Serie A
,,,,,,,,2018-2019,Serie A
Fabio Ceravolo,Parma,25,12,"1,185",13.2,2,0.15,2018-2019,Serie A
Alberto Cerri,Cagliari,15,7,670,7.4,0,0.00,2018-2019,Serie A
Boštjan Cesar,Chievo,14,11,"1,079",12.0,1,0.08,2018-2019,Serie A
Raman Chibsah,Frosinone,32,30,"2,622",29.1,1,0.03,2018-2019,Serie A
Giorgio Chiellini,Juventus,25,22,"1,991",22.1,1,0.05,2018-2019,Serie A
Federico Chiesa,Fiorentina,37,34,"3,034",33.7,6,0.18,2018-2019,Serie A
Vlad Chiricheș,Napoli,3,3,147,1.6,0,0.00,2018-2019,Serie A
Camillo Ciano,Frosinone,33,28,"2,454",27.3,7,0.26,2018-2019,Serie A
Amato Ciciretti,Parma,6,1,139,1.5,0,0.00,2018-2019,Serie A
Luca Cigarini,Cagliari,25,20,"1,682",18.7,0,0.00,2018-2019,Serie A
Daniel Ciofani,Frosinone,31,17,"1,618",18.0,5,0.28,2018-2019,Serie A
Thiago Cionek,SPAL,31,29,"2,542",28.2,0,0.00,2018-2019,Serie A
Omar Colley,Sampdoria,21,21,"1,762",19.6,0,0.00,2018-2019,Serie A
Andrea Consigli,Sassuolo,36,36,"3,213",35.7,0,0.00,2018-2019,Serie A
Andrea Conti,Milan,12,4,500,5.6,0,0.00,2018-2019,Serie A
Gabriele Corbo,Bologna,1,0,5,0.1,0,0.00,2018-2019,Serie A
Ante Ćorić,Roma,2,0,24,0.3,0,0.00,2018-2019,Serie A
Joaquín Correa,Lazio,34,18,"1,927",21.4,5,0.23,2018-2019,Serie A
Douglas Costa,Juventus,17,7,621,6.9,1,0.14,2018-2019,Serie A
Filippo Costa,SPAL,9,6,564,6.3,0,0.00,2018-2019,Serie A
Alessio Cragno,Cagliari,38,38,"3,420",38.0,0,0.00,2018-2019,Serie A
Domenico Criscito,Genoa,35,35,"3,070",34.1,2,0.06,2018-2019,Serie A
Lorenzo Crisetig,Frosinone,8,5,507,5.6,0,0.00,2018-2019,Serie A
Bryan Cristante,Roma,35,26,"2,425",26.9,4,0.15,2018-2019,Serie A
Alessio da Cruz,Parma,3,1,144,1.6,0,0.00,2018-2019,Serie A
,,,,,,,,2018-2019,Serie A
Juan Cuadrado,Juventus,18,14,"1,220",13.6,1,0.07,2018-2019,Serie A
Patrick Cutrone,Milan,34,12,"1,457",16.2,3,0.19,2018-2019,Serie A
Marco D'Alessandro,Udinese,24,16,"1,495",16.6,0,0.00,2018-2019,Serie A
Danilo D'Ambrosio,Inter,30,29,"2,579",28.7,2,0.07,2018-2019,Serie A
Bryan Dabo,Fiorentina,23,6,831,9.2,1,0.11,2018-2019,Serie A
Felipe dal Belo,SPAL,30,27,"2,361",26.2,3,0.11,2018-2019,Serie A
Nicola Dalmonte,Genoa,3,0,44,0.5,0,0.00,2018-2019,Serie A
Vitalie Damașcan,Torino,1,0,4,0.0,0,0.00,2018-2019,Serie A
