pred_cluster,Wins,Draws,Losses,Points,Goals_For,Goals_Against,Goal_Differential,Possession,Wages,League
0,21.0,8.34,8.66,71.34,68.47999999999999,41.36,27.119999999999997,57.56444444444445,149431367.18,EPL
1,10.552380952380952,7.916071428571429,19.53154761904762,39.573214285714286,40.973214285714285,61.93869047619047,-20.965476190476192,47.15416666666667,47619676.01309524,EPL
2,12.924444444444443,9.815555555555555,15.26,48.58888888888889,47.15,53.028888888888886,-5.8788888888888895,47.10836111111111,65924452.10333333,EPL
3,7.3125,7.0625,23.625,29.0,32.25,70.875,-38.625,43.27916666666667,41132431.1875,EPL
4,26.7,5.5,5.8,85.6,91.5,33.1,58.4,64.76666666666667,175535752.6,EPL
5,8.242857142857144,11.35,18.407142857142855,36.07857142857143,35.28809523809524,58.42380952380952,-23.135714285714286,41.68933333333333,51939900.873809524,EPL
